Associated genes,Disease
A2M,AD
ABCA1,AD
ABCA2,AD
ABCA7,AD
ABCB7,SCA
ACAD8,AD
ACAN,AD
ACE,AD
ADAM10,AD
ADAM12,AD
ADAM9,AD
ADCK3,SCA
ADH1C,PD
ADRB2,AD
AFG3L2,SCA
AGER,AD
AGPAT1,AD
AGT,AD
AHSG,AD
ALB,AD
ALDH18A1,AD
ALDH2,AD
ALOX5,AD
ALS2,ALS
ANG,ALS
ANK3,AD
ANO10,SCA
APBA1,AD
APBB1,AD
APBB2,AD
APH1A,AD
APH1B,AD
APOA1,AD
APOA4,AD
APOA5,AD
APOC1,AD
APOC2,AD
APOC4,AD
APOD,AD
APOE,AD
APOE_e2/3/4,AD
APP,AD
AR,SMA
AR,AD
ARID5B,AD
ARL5B,AD
ARSB,AD
ASAH1,SMA
ASCC1,SMA
ATF7,AD
ATP13A2,PD
ATP2B3,SCA
ATP6AP2,PD
ATP6V0A4,AD
ATP7A,SMA
ATXN1,SCA
ATXN1,AD
ATXN10,SCA
ATXN2,PD
ATXN2,SCA
ATXN3,SCA
ATXN7,SCA
ATXN8OS,SCA
BACE1,AD
BACE2,AD
BAT1,AD
BCAM,AD
BCHE,AD
BCR,AD
BDNF,AD
BEAN1,SCA
BICD2,SMA
BIN1,AD
BLMH,AD
C10orf112,AD
C12orf41,AD
C21orf55,AD
C21orf63,AD
C4A,AD
C4B,AD
C9orf72,Dementia
C9orf72,ALS
C9orf72,FTD
CACNA1A,SCA
CACNB2,AD
CALHM1,AD
CAND1,AD
CAV3,AD
CBS,AD
CCDC134,AD
CCDC88C,SCA
CCL2,AD
CCL3,AD
CCNT1,AD
CCR2,AD
CD2AP,AD
CD33,AD
CD36,AD
CDC2,AD
CDK5,AD
CDK5R1,AD
CDKN2A,AD
CDKN2BAS,AD
CECR2,AD
CELF2,AD
CETP,AD
CFH,AD
CH25H,AD
CHAT,AD
CHCHD10,Dementia
CHCHD10,ALS
CHCHD10,SMA
CHD4,AD
CHMP2B,Dementia
CHMP2B,ALS
CHMP2B,FTD
CHRFAM7A,AD
CHRNA3,AD
CHRNA4,AD
CHRNA7,AD
CHRNB2,AD
CLPTM1,AD
CLU,AD
COL11A1,AD
COL25A1,AD
COMT,AD
COX10,AD
COX15,AD
CR1,AD
CRP,AD
CSK,AD
CST3,AD
CTSD,AD
CTSS,AD
CWF19L1,SCA
CYP19A1,AD
CYP46A1,AD
DAPK1,AD
DCTN1,ALS
DFNB31,AD
DGKB,AD
DHCR24,AD
DKK1,AD
DLD,AD
DLST,AD
DNAJB2,SMA
DNAJC13,PD
DNAJC6,PD
DNM2,AD
DNMBP,AD
DOPEY2,AD
DPYS,AD
DSC1,AD
DYNC1H1,SMA
DYRK1A,AD
EBF3,AD
ECE1,AD
EEF2,SCA
EFNA5,AD
EIF2AK2,AD
EIF4G1,PD
ELOVL5,SCA
ENTPD7,AD
EPC2,AD
EPHA1,AD
EPHA4,AD
ERBB4,ALS
ESR1,AD
ESR2,AD
EXOC3L2,AD
FAM113B,AD
FAM63A,AD
FAS,AD
FBXO7,PD
FCER1G,AD
FDPS,AD
FGF1,AD
FGF14,SCA
FIG4,ALS
FUS,ALS
FUS,FTD
GAB2,AD
GALP,AD
GAPDH,AD
GAPDHS,AD
GBA,Dementia
GBA,PD
GBP2,AD
GIGYF2,PD
GLE1,ALS
GLOD4,AD
GNA11,AD
GNB3,AD
GOLM1,AD
GRID2,SCA
GRIN2B,AD
GRIN3A,AD
GRM1,SCA
GRN,FTD
GRN,AD
GSK3B,AD
GSTM1,AD
GSTM3,AD
GSTO1,AD
GSTO2,AD
GSTP1,AD
GSTT1,AD
HBG2,AD
hCG2039140,AD
HFE,AD
HHEX,AD
HLA,AD
HMGCR,AD
HMGCS2,AD
HMOX1,AD
HNRNPA1,Dementia
HNRNPA1,ALS
HNRNPA2B1,Dementia
HPCAL1,AD
HSD11B1,AD
HSPA5,AD
HSPG2,AD
HTR6,AD
HTRA2,PD
HTT,HTT
ICAM1,AD
IDE,AD
IGF1,AD
IGHMBP2,SMA
IL10,AD
IL18,AD
IL1A,AD
IL1B,AD
IL1RN,AD
IL33,AD
IL6,AD
IL8,AD
IREB2,AD
ITM2B,Dementia
ITPR1,SCA
JPH3,HTT
KCNC3,SCA
KCND3,SCA
KCNJ6,AD
KIAA0226,SCA
KIF18B,AD
KIF5A,ALS
KLF5,AD
KNS2,AD
LCK,AD
LDLR,AD
LHCGR,AD
LIPA,AD
LIPC,AD
LMNA,AD
LOC388458,AD
LOC439999,AD
LOC651924,AD
LPL,AD
LRAT,AD
LRP1,AD
LRP2,AD
LRP6,AD
LRP8,AD
LRPAP1,AD
LRRK2,PD
LRRTM3,AD
MAGI2,AD
MAOA,AD
MAPK8IP1,AD
MAPT,PD
MAPT,Dementia
MAPT,FTD
MAPT/STH,AD
MATR3,ALS
MC2R,AD
MCM3AP,AD
MEF2A,AD
MEFV,AD
MICA,AD
MME,AD
MMP1,AD
MMP3,AD
MPO,AD
MS4A4A,AD
MS4A4E,AD
MS4A6A,AD
MT-ATP6,AD
MT-ATP8,AD
MT-CO2,AD
MT-CO3,AD
MT-COI,AD
MT-CYB,AD
MT-DLOOP,AD
MT-haplo,AD
MT-L2,AD
MT-ND1,AD
MT-ND2,AD
MT-ND3,AD
MT-ND4,AD
MT-ND4L,AD
MT-ND5,AD
MT-ND6,AD
MT-RNR1,AD
MT-TG,AD
MT-TH,AD
MT-TQ,AD
MT-TR,AD
MT-TS2,AD
MT-TT,AD
MTHFD1L,AD
MTHFR,AD
MTND5,AD
MTR,AD
MYH13,AD
MYH8,AD
NAT2,AD
NCAM2,AD
NCAPD2,AD
NCSTN,AD
NEDD9,AD
NEFH,ALS
NGB,AD
NOP56,SCA
NOS1,AD
NOS3,AD
NOTCH2NL,PD
NP,AD
NPC1,AD
NPC2,AD
NQO1,AD
NR1H2,AD
NTRK1,AD
NTRK2,AD
NXPH1,AD
OGG1,AD
OLR1,AD
OPRS1,AD
OPTN,ALS
OTC,AD
PARK2,PD
PARK7,PD
PARP1,AD
PAXIP1,AD
PCDH11X,AD
PCGF5,AD
PCK1,AD
PDYN,SCA
PFN1,ALS
PGBD1,AD
PICALM,AD
PIK3R1,AD
PIN1,AD
PINK1,PD
PKP2P1,AD
PLA2G6,PD
PLAT,AD
PLAU,AD
PLD3,AD
PLEKHG5,SMA
PNMT,AD
POMT1,AD
PON1,AD
PON2,AD
PON3,AD
POU2F1,AD
PPARA,AD
PPARG,AD
PPM1H,AD
PPP1R3A,AD
PPP2R2B,SCA
PPP2R2B,AD
PRKAG2,Dementia
PRKCG,SCA
PRND,AD
PRNP,Dementia
PRNP,AD
PRNP,HTT
PRNP,Prion
PRPH,ALS
PRSS11,AD
PRSS7,AD
PRUNE2,AD
PSEN1,Dementia
PSEN1,AD
PSEN2,AD
PSENEN,AD
PTGS2,AD
PTPLA,AD
PVRL2,AD
RAX2,SMA
RELN,AD
RFC1,AD
RGS6,AD
RUNX1,AD
RXRA,AD
S100B,AD
SAMSN1,AD
SCYL1,SCA
SEL1L,AD
SEPT3,AD
SERPINA1,AD
SERPINA3,AD
SERPINE1,AD
SERPINF2,AD
SETX,ALS
SETX,SCA
SGPL1,AD
SIGMAR1,ALS
SLC6A3,PD
SLC6A4,AD
SMN1,SMA
SMN2,SMA
SNCA,Dementia
SNCA,PD
SNCA,AD
SNCB,Dementia
SNX14,SCA
SOAT1,AD
SOD1,ALS
SOD2,AD
SORCS1,AD
SORCS2,AD
SORL1,AD
SOS2,AD
SPTBN2,SCA
SQSTM1,Dementia
SQSTM1,ALS
SREBF1,AD
SST,AD
STUB1,SCA
SYN3,AD
SYNE1,SCA
SYNJ1,PD
SYT14,SCA
TAF1,PD
TAP2,AD
TAPBPL,AD
TARDBP,ALS
TARDBP,FTD
TARDBP,AD
TBK1,Dementia
TBK1,ALS
TBK1,FTD
TBP,PD
TBP,SCA
TBX18,HTT
TDP1,SCA
TDP2,SCA
TET1,AD
TF,AD
TFAM,AD
TFCP2,AD
TGFB1,AD
TGM6,SCA
TLR4,AD
TMEM132C,AD
TMEM240,SCA
TMEM63C,AD
TNF,AD
TNK1,AD
TOMM40,AD
TP53,AD
TP63,AD
TP73,AD
TPP1,SCA
TRAF2,AD
TRAK2,AD
TRIP4,SMA
TRPC3,SCA
TRPC4AP,AD
TRPM7,ALS
TRPM7,Dementia
TRPV4,SMA
TTBK2,SCA
TTR,AD
TUBA4A,ALS
UBA1,SMA
UBA5,SCA
UBD,AD
UBE2I,AD
UBQLN1,AD
UBQLN2,ALS
UCHL1,PD
UCHL1,AD
VAPB,ALS
VAPB,SMA
VCP,ALS
VCP,Dementia
VCP,FTD
VCP,AD
VDR,AD
VEGF,AD
VLDLR,AD
VPS13C,PD
VPS35,PD
VR22,AD
VWA3B,SCA
WWC1,AD
WWOX,SCA
ZNF292,AD
