name,Keep,Replace
3M complex,FALSE,
"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase complex",FALSE,
6-phosphofructokinase complex,FALSE,
90S preribosome,FALSE,preribosome
A band,FALSE,
acetylcholine-gated channel complex,FALSE,
acrosomal membrane,FALSE,plasma membrane
acrosomal vesicle,FALSE,plasma membrane
actin cap,FALSE,cytoplasm
actin cytoskeleton,FALSE,cytoplasm
actin filament,FALSE,cytoplasm
actin filament bundle,FALSE,cytoplasm
activating signal cointegrator 1 complex,FALSE,cytoplasm
activin receptor complex,FALSE,cytoplasm
actomyosin,FALSE,cytoplasm
actomyosin contractile ring,FALSE,cytoplasm
"actomyosin, actin portion",FALSE,cytoplasm
adherens junction,FALSE,cytoplasm
adrenomedullin receptor complex,FALSE,cytoplasm
aggresome,TRUE,
AIM2 inflammasome complex,FALSE,
alphav-beta3 integrin-IGF-1-IGF1R complex,FALSE,
alveolar lamellar body,FALSE,lamellar body
aminoacyl-tRNA synthetase multienzyme complex,FALSE,
AMPA glutamate receptor complex,FALSE,
anaphase-promoting complex,FALSE,
anchored component of external side of plasma membrane,FALSE,plasma membrane
anchored component of membrane,FALSE,plasma membrane
anchored component of plasma membrane,FALSE,plasma membrane
anchored component of the cytoplasmic side of the plasma membrane,FALSE,plasma membrane
angiogenin-PRI complex,FALSE,
annulate lamellae,FALSE,cytoplasm
AP-1 adaptor complex,FALSE,vesicle
AP-2 adaptor complex,FALSE,vesicle
AP-3 adaptor complex,FALSE,vesicle
AP-4 adaptor complex,FALSE,vesicle
AP-type membrane coat adaptor complex,FALSE,vesicle
apical cortex,FALSE,vesicle
apical dendrite,FALSE,
apical junction complex,FALSE,
apical part of cell,FALSE,
apical plasma membrane,FALSE,plasma membrane
apicolateral plasma membrane,FALSE,plasma membrane
apoptosome,FALSE,
Arp2/3 protein complex,FALSE,
aryl hydrocarbon receptor complex,FALSE,
ASAP complex,FALSE,
astral microtubule,FALSE,cytoplasm
asymmetric synapse,FALSE,cytoplasm
"asymmetric, glutamatergic, excitatory synapse",FALSE,cytoplasm
Atg1/ULK1 kinase complex,FALSE,
Atg12-Atg5-Atg16 complex,FALSE,
ATP-binding cassette (ABC) transporter complex,FALSE,
autophagosome,TRUE,
autophagosome lumen,FALSE,autophagosome
autophagosome membrane,FALSE,autophagosome
axolemma,FALSE,
axon,FALSE,
axon terminus,FALSE,
axonal growth cone,FALSE,
axonemal dynein complex,FALSE,
axonemal microtubule,FALSE,
axonemal outer doublet,FALSE,
axoneme,FALSE,
azurophil granule,FALSE,
azurophil granule membrane,FALSE,
Barr body,TRUE,
basal cortex,FALSE,
basal part of cell,FALSE,
basal plasma membrane,FALSE,plasma membrane
basement membrane,FALSE,
basolateral plasma membrane,FALSE,plasma membrane
BAT3 complex,FALSE,
BAX complex,FALSE,
BBSome,FALSE,
Bcl-2 family protein complex,FALSE,
Bcl3-Bcl10 complex,FALSE,
Bcl3/NF-kappaB2 complex,FALSE,
BCOR complex,FALSE,
beta-catenin destruction complex,FALSE,
beta-catenin-TCF7L2 complex,FALSE,
bicellular tight junction,FALSE,plasma membrane
bleb,FALSE,
BLOC-1 complex,FALSE,
BLOC-3 complex,FALSE,
blood microparticle,FALSE,
