logFC,AveExpr,t,P.Value,adj.P.Val,B,Nfu.gene.name,Nfu.transcript.id,Nfu.gene.id,human.gene.id,human.gene.name
2.453403786,16.58735045,22.1943804,1.81E-09,1.41E-05,11.91874427,ctsc,Nfu_t_1_001673,Nfu_g_1_000693,ENSG00000109861,CTSC
2.728149601,15.90483975,20.45654404,3.86E-09,1.50E-05,11.32100459,SUB1 (1 of 2),Nfu_t_1_037130,Nfu_g_1_015433,ENSG00000113387,SUB1
-2.222487482,14.25698585,-17.71586341,1.45E-08,3.18E-05,10.21009005,ggcta,Nfu_t_1_033988,Nfu_g_1_014122,ENSG00000006625,GGCT
1.661900054,17.81801184,17.49719586,1.63E-08,3.18E-05,10.11116923,arf1l,Nfu_t_1_001994,Nfu_g_1_000810,NA,NA
1.495256018,17.13447463,16.50251195,2.79E-08,4.35E-05,9.639346234,carhsp1,Nfu_t_1_046667,Nfu_g_1_019532,ENSG00000153048,CARHSP1
-1.315785026,15.14128363,-15.64153888,4.55E-08,5.07E-05,9.199849904,si:dkey-169l5.3,Nfu_t_1_012826,Nfu_g_1_005280,NA,NA
1.272471226,16.45838974,15.86991437,3.99E-08,5.07E-05,9.319404424,srsf9,Nfu_t_1_016166,Nfu_g_1_006704,ENSG00000111786,SRSF9
1.588648893,14.87029308,15.21682841,5.85E-08,5.70E-05,8.971527087,COBLL1 (2 of 2),Nfu_t_1_042568,Nfu_g_1_017789,ENSG00000082438,COBLL1
-1.45680165,15.50363151,-14.2165353,1.08E-07,6.04E-05,8.401050234,GBA,Nfu_t_1_003321,Nfu_g_1_001340,ENSG00000177628,GBA
1.044299058,16.77405887,14.34939193,9.97E-08,6.04E-05,8.479596244,map6,Nfu_t_1_040740,Nfu_g_1_017060,ENSG00000171533,MAP6
1.465510668,18.91033612,14.22426681,1.08E-07,6.04E-05,8.40564537,syn1,Nfu_t_1_010758,Nfu_g_1_004412,ENSG00000185666,SYN3
1.530470714,16.65576737,14.49115384,9.12E-08,6.04E-05,8.562443223,ADK (2 of 2),Nfu_t_1_035577,Nfu_g_1_014776,ENSG00000156110,ADK
1.535092323,16.88107885,14.58477496,8.60E-08,6.04E-05,8.616618287,edf1,Nfu_t_1_015693,Nfu_g_1_006507,ENSG00000107223,EDF1
1.67215547,15.81322251,14.45478958,9.33E-08,6.04E-05,8.541285645,col6a3,Nfu_t_1_034094,Nfu_g_1_014177,ENSG00000163359,COL6A3
