Uniprot ID,Gene Name,log abs.LFQ AgWTD06 Corrected,log abs.LFQ AgWTD17 Corrected,
A3QMC2;G5EFT4;A3QMC1,AP-1,4.959213963,5.065299701,
A3QMC5,rpl-34,5.981872491,6.551780954,
A3QMC6,erl-1,4.314639495,4.795672722,
A3QMC8,tag-335,5.238430456,5.349694898,
A4UVK2,,6.134463792,6.423531189,
A5HU98;P91425,guk-1,4.92741296,6.233511092,
O44199;A5JYU5,rad-50,4.116929116,4.514989082,
O01319;A5JYW9,sin-3,4.851011291,5.362502732,
P90947;A5JYX3,hmp-1,4.784729419,5.02023159,
A5JYX9,,4.513628432,5.922668374,
Q9U207;A5PEX6;G2HK02;G2HK03,pqn-87,5.310214435,5.35494555,
Q8WQA3;A5PEY3,rpom-1,3.78891898,4.453984863,
A5Z2T6;Q18960,,5.610724027,5.748405826,
Q564V0;Q95QM9;A5Z2V7,,4.959428536,5.417048497,
A5Z2W3,,5.798850854,5.991264398,
Q9XWW2;A7DTF0,mrg-1,4.515040749,4.95494088,
D3NQA3;A7DTF1;Q9XWR1,flh-1,4.51632949,5.276350318,
A7LPF3;Q20364,,5.110386941,5.827991751,
Q5FC71;A7LPG5,,4.893566395,6.409485996,
A8WHT8,,5.479938438,5.861317935,
A8WI97;Q9U1T6;Q8I4B8,,5.103744705,5.418444005,
Q17948;Q9U3Q1;A9UJN4,pptr-2,4.84828367,5.301072382,
A9UJN7;Q93562,,4.978575104,5.642122941,
G5EBT3;A9Z1L1;Q6QUQ5;Q6QUQ6,srp-7,5.489015251,5.748749334,
B0M0L8,hsp-43,7.596128918,7.799429298,
B0M0L9;Q9BIA9,,4.440562373,4.626089805,
B2D6M2;Q21769,lin-61,5.337496005,5.648523218,
Q95QZ3;B2MZA9;Q95QZ4;Q10923,ntl-2,5.17833378,5.271438591,
B3CJ34,gcn-1,5.938274095,5.952969948,
B5BM32;Q9XVS7,nxf-1,4.908714886,5.531017262,
Q9XTY7;B5BM47,,3.257633798,6.17953253,
B7FAS0;B7FAS1,mcd-1,4.269901241,4.843191913,
B7WNB3;O18202,clec-146,4.41086728,6.29609828,
C1P641;Q21313;C1P640;G5EEV6,epi-1,6.718386955,6.734927054,
C6KRM2;Q8I4M5;Q93342,gls-1,5.24082172,5.53487059,
Q1ZXT4;Q1ZXT3;C6KRN1,sao-1,5.821497735,6.263404506,
C6KRN4;Q5FC39,,4.794403715,5.210905965,
Q9NAH1;C7IVS4,,4.39122708,5.115815144,
P46551;C8JQR0;C8JQQ9,cdtl-7;cdk-12,3.896179823,4.272290636,
C9IY22;C9IY21,,6.120700363,6.356788821,
Q20414;D0VWM8;Q6BEV0,tdp-1,4.295476335,5.002570941,
D1MN85,ife-1,4.328682895,6.176602517,
D3YT50;Q21921,sir-2.1,4.249281593,5.135965595,
D6R8W9,rbc-1,3.743280599,4.351057902,
D7SFI3,,4.949885601,5.252703265,
E3W759;O17902,,5.648389374,7.177847434,
E8MDV8,,5.469956662,5.717086226,
Q22498;Q2XN02;F5GUA3,T14G10.5,5.711764496,6.051121141,
P34563;G1K0V8,iff-1,6.518747642,7.69777586,
G3MU56;G3MU57;P90897,,6.248358895,6.492234177,
G3MU69,ant-1.1,4.813203955,5.852969321,
G3MU81;O45624;G3MU80;O45623,math-33,5.536743803,6.04773204,
G4RYA5,,5.368529077,5.623459189,
G4SPY0;G4SPY1,,5.667694291,5.832643058,
G5EBF4,,5.753050238,6.015427004,
G5EBF5,rde-4,5.945588348,6.241541359,
G5EBK4,atg-7,3.723587314,5.333458547,
G5EBL8,,3.790227395,4.169196564,
G5EBV6;Q965J2,pgl-3,6.073025218,6.149768747,
G5EBX0,klp-18,5.208598189,5.752016805,
G5EBX6;Q8I129,crn-3,4.302226463,4.672176967,
G5EBY3,nmy-2,5.917515329,6.085392201,
G5EBZ4,let-418,5.227055155,5.532071565,
G5EC05,evl-14,3.766008873,3.815420323,
G5EC16;G5EFQ8,smn-1,4.344103787,5.804499145,
G5EC23,hcf-1,4.360020471,4.973672785,
G5EC31;Q86N72;Q6A593,alh-6,5.200223672,5.416768856,
G5EC71,gst-20,4.781186767,4.823230246,
G5EC77,ztf-6,4.483434724,5.23748715,
G5EC98,ctps-1,5.105740406,5.290080402,
G5ECC9,,5.067352703,5.114985478,
G5ECF4;G5EGL7,bmk-1,4.487292944,4.492746846,
G5ECH0,hda-3,4.726058786,5.245859718,
G5ECH1;G5EBK6,,4.213734629,4.331544264,
G5ECL1,,4.413165515,5.604072872,
G5ECM1;G3MU40,rrf-1,4.081245549,4.733457774,
G5ECM6,tufm-1,6.460992336,6.712734285,
G5ECM9;Q86S25,cpi-2,4.881479028,5.366575259,
G5ECQ4,sth-1,5.36978173,5.487311784,
G5ECQ5,pes-2.1,4.179982879,5.441938433,
G5ECQ8,cin-4,4.197783288,4.846078295,
G5ECR0,,6.550710358,6.64414636,
G5ECR1,mbd-2,4.587072318,5.517093382,
G5ECU1,skr-1,5.494141564,6.266470678,
P40614;G5ECU3,F01G4.6,5.772160338,6.09942551,
G5ECU5,,4.871941553,5.235484369,
G5ECW3,ehbp-1,4.79153188,4.855282392,
G5ECZ2;G5EDI2,ret-1,4.284173842,4.743555986,
G5ED07,pdi-3,5.783042212,6.088002315,
O62178;G5ED36,rme-8,5.600936439,6.016457389,
G5ED75;Q9XU12,klp-7,4.947163432,5.297439213,
G5ED95,yrs-2,5.661130415,5.737389172,
G5EDA3,hcp-4,3.661274283,4.432231498,
G5EDE2,hpl-2,3.929888399,6.008705034,
G5EDF5,tufm-2,5.326569424,5.41337342,
G5EDJ7,,5.256200972,5.551202877,
G5EDL3,air-1,6.017497569,6.692187719,
G5EDP9,aap-1,4.930863182,4.999710332,
G5EDQ4;G5EDV5;G5EF89;G5EGA4,cle-1,7.059501887,7.198768375,
G5EDR3,sur-6,4.551026363,5.199984945,
G5EDS2,pod-1,5.964016384,6.043734365,
G5EDU8;Q8WT44,cyk-3,3.974864484,4.816161033,
G5EDV3,cey-4,6.603061566,6.64060676,
G5EDY2,wars-1,6.163488181,6.581611226,
G5EDY3,skr-7,4.674243178,5.859523403,
G5EDY8;Q8WQC9,drp-1,5.937231167,6.089965848,
G5EE01,daf-18,4.848595278,5.608935838,
G5EE04,hip-1,6.061711069,6.580339295,
G5EE09;Q8I4B4;Q9U1P4;B3GWC3,ccr-4,4.9597234,5.565735759,
G5EE48,ttr-50,5.590797868,5.866440806,
G5EE74,nud-1,4.983625987,5.482529714,
G5EEA8,nex-1,4.346001718,4.969490778,
G5EEF0;G5EBW6,lea-1,3.715283632,3.820388243,
Q8MNV0-2;Q8MNV0;G5EEF8;Q8MNV0-3,spas-1,4.023716355,4.106797792,
G5EEI8,chp-1,4.747861307,5.553417768,
G5EEM5,zyg-9,5.334804147,5.365145623,
G5EEN1;G5ECI8;B1V8K6,fars-2,3.953108074,5.737717212,
G5EFK5;G5EES6,ufd-3,4.200269876,4.49916777,
G5EES9,txl,4.61539128,5.777074706,
G5EET2,dut-1,5.776063489,6.676155608,
Q5CZ43;Q6A4L2;G5EEV2,trr-1,3.475180714,4.077294171,
G5EEY5;Q565A2,pbrm-1,5.098422995,5.729651336,
G5EF05,,5.251463464,5.413040107,
G5EF26,,4.232064972,4.4494564,
G5EF77,sars-2,4.572038388,5.187447564,
G5EF87,swsn-1,5.989445386,6.338816684,
