Strain,Experiment,%wGFPpucta.per.GFPpositive,%wGFPpuncta.per.cell,Condition
YDJ5500,20200705_Trial1/20200705_ON_SD-URA-LEU,0.29286,0.11714,pre-induction
YDJ5501,20200705_Trial1/20200705_ON_SD-URA-LEU,0.08527,0.03697,pre-induction
YDJ5502,20200705_Trial1/20200705_ON_SD-URA-LEU,0.08171,0.03691,pre-induction
YDJ5519,20200705_Trial1/20200705_ON_SD-URA-LEU,0.12077,0.05593,pre-induction
YDJ5520,20200705_Trial1/20200705_ON_SD-URA-LEU,0.06615,0.02564,pre-induction
YDJ5530,20200705_Trial1/20200705_ON_SD-URA-LEU,0.15642,0.06813,pre-induction
YDJ5531,20200705_Trial1/20200705_ON_SD-URA-LEU,0.07407,0.02512,pre-induction
YDJ5531,"20200705_Trial1/20200705_ON_SD-URA-LEU, biorep2",0.09,0.04,pre-induction
YDJ6617,20200705_Trial1/20200705_ON_SD-URA-LEU,0.09716,0.08705,pre-induction
YDJ6618,20200705_Trial1/20200705_ON_SD-URA-LEU,0.11111,0.07087,pre-induction
YDJ6619,20200705_Trial1/20200705_ON_SD-URA-LEU,0.05556,0.01691,pre-induction
YDJ5500,20200705_Trial1/20200706_24hr_SGAL-URA-LEU,0.47826,0.39427,induction
YDJ5501,20200705_Trial1/20200706_24hr_SGAL-URA-LEU,0.19757,0.14381,induction
YDJ5502,20200705_Trial1/20200706_24hr_SGAL-URA-LEU,0.39313,0.13359,induction
YDJ5519,20200705_Trial1/20200706_24hr_SGAL-URA-LEU,0.34043,0.1,induction
YDJ5520,20200705_Trial1/20200706_24hr_SGAL-URA-LEU,0.25461,0.18302,induction
YDJ5530,20200705_Trial1/20200706_24hr_SGAL-URA-LEU,0.24561,0.1039,induction
YDJ5531,20200705_Trial1/20200706_24hr_SGAL-URA-LEU,0.19737,0.05882,induction
YDJ5531,"20200705_Trial1/20200706_24hr_SGAL-URA-LEU, biorep2",0.26984,0.10089,induction
YDJ6615,20200705_Trial1/20200706_24hr_SGAL-URA-LEU,0.091168091,0.043360434,induction
YDJ6617,20200705_Trial1/20200706_24hr_SGAL-URA-LEU,0.17881,0.05757,induction
YDJ6618,20200705_Trial1/20200706_24hr_SGAL-URA-LEU,0.1405,0.07025,induction
YDJ6619,20200705_Trial1/20200706_24hr_SGAL-URA-LEU,0.02899,0.01,induction
YDJ5500,20200705_Trial1/20200707_midlog_24hr_outgrowth_SD-URA-LEU,0.33019,0.22727,outgrowth
YDJ5501,20200705_Trial1/20200707_midlog_24hr_outgrowth_SD-URA-LEU,0.07692,0.03902,outgrowth
YDJ5502,20200705_Trial1/20200707_midlog_24hr_outgrowth_SD-URA-LEU,0.07692,0.03913,outgrowth
YDJ5519,20200705_Trial1/20200707_midlog_24hr_outgrowth_SD-URA-LEU,0.14925,0.04831,outgrowth
YDJ5520,20200705_Trial1/20200707_midlog_24hr_outgrowth_SD-URA-LEU,0.01786,0.00935,outgrowth
YDJ5530,20200705_Trial1/20200707_midlog_24hr_outgrowth_SD-URA-LEU,0.16814,0.0574,outgrowth
YDJ5531,20200705_Trial1/20200707_midlog_24hr_outgrowth_SD-URA-LEU,0.06107,0.0198,outgrowth
YDJ5531,"20200705_Trial1/20200707_midlog_24hr_outgrowth_SD-URA-LEU, biorep2",0.00735,0.00355,outgrowth
YDJ6615,20200705_Trial1/20200707_midlog_24hr_outgrowth_SD-URA-LEU,0,0,outgrowth
YDJ6617,20200705_Trial1/20200707_midlog_24hr_outgrowth_SD-URA-LEU,0.12281,0.04605,outgrowth
YDJ6618,20200705_Trial1/20200707_midlog_24hr_outgrowth_SD-URA-LEU,0.03125,0.01695,outgrowth
YDJ6619,20200705_Trial1/20200707_midlog_24hr_outgrowth_SD-URA-LEU,0,0,outgrowth
YDJ5500,20200706_Trial2/20200706_48hr_Staionary_SD-URA-LEU,0.275,0.08029,pre-induction
YDJ5501,20200706_Trial2/20200706_48hr_Staionary_SD-URA-LEU,0.16058,0.03716,pre-induction
YDJ5502,20200706_Trial2/20200706_48hr_Staionary_SD-URA-LEU,0.12389,0.02108,pre-induction
YDJ5519,20200706_Trial2/20200706_48hr_Staionary_SD-URA-LEU,0,0,pre-induction
YDJ5520,20200706_Trial2/20200706_48hr_Staionary_SD-URA-LEU,0.12,0.00917,pre-induction
YDJ5530,20200706_Trial2/20200706_48hr_Staionary_SD-URA-LEU,0.12626,0.05447,pre-induction
YDJ5531,20200706_Trial2/20200706_48hr_Staionary_SD-URA-LEU,0.0566,0.00758,pre-induction
YDJ5531,"20200706_Trial2/20200706_48hr_Staionary_SD-URA-LEU, biorep2",0.15686,0.04959,pre-induction
YDJ6616,20200706_Trial2/20200706_48hr_Staionary_SD-URA-LEU,0.02333,0.01828,pre-induction
YDJ6618,20200706_Trial2/20200706_48hr_Staionary_SD-URA-LEU,0.04375,0.01818,pre-induction
YDJ6619,20200706_Trial2/20200706_48hr_Staionary_SD-URA-LEU,0.01351,0.00806,pre-induction
YDJ5500,20200706_Trial2/20200707_midlog_24hr_SGAL-URA-LEU,0.48227,0.27642,induction
YDJ5501,20200706_Trial2/20200707_midlog_24hr_SGAL-URA-LEU,0.13833,0.07692,induction
YDJ5502,20200706_Trial2/20200707_midlog_24hr_SGAL-URA-LEU,0.37423,0.16486,induction
YDJ5520,20200706_Trial2/20200707_midlog_24hr_SGAL-URA-LEU,0.07407,0.01951,induction
