N. furzeri Protein Id	Human
XP_015822984.1	IMPDH2
XP_015803590.1	FKBP3
XP_015810582.1	CHST2
XP_015825399.1	HTR1D
XP_015811686.1	ZFYVE9
XP_015826952.1	ZFYVE9
XP_015804208.1	MYBPC2
XP_015818828.1	MYBPC2
XP_015822637.1	TNFSF14
XP_015826346.1	PGPEP1
XP_015804999.1	CEP162
XP_015825361.1	ASAP3
XP_015830459.1	CREB5
XP_015811431.1	CREB5
XP_015802823.1	CMTR1
XP_015816860.1	CRCP
XP_015816177.1	GUCA1A
XP_015829580.1	SLC52A1
XP_015796810.1	STAT5B
XP_015832332.1	STAT5B
XP_015804135.1	STAT5B
XP_015796455.1	STAT5B
XP_015808639.1	CTDSPL2
XP_015830385.1	CTDSPL2
XP_015826315.1	CTDSPL2
XP_015802405.1	UBXN1
XP_015809291.1	PBLD
XP_015809297.1	PBLD
XP_015828751.1	SCARB2
XP_015830070.1	SCARB2
XP_015796404.1	SCARB2
XP_015805572.1	
XP_015797747.1	NFXL1
XP_015819134.1	L3MBTL2
XP_015829881.1	
XP_015809328.1	OTOG
XP_015821934.1	PDE11A
XP_015830176.1	PDE11A
XP_015801473.1	MEA1
XP_015813201.1	DNAH11
XP_015804509.1	DNAH11
XP_015804420.1	DNAH11
XP_015804421.1	DNAH11
XP_015804510.1	DNAH11
XP_015813059.1	
XP_015828898.1	ZNF615
XP_015812847.1	CDH24
XP_015831071.1	CDH24
XP_015816152.1	BBX
XP_015801510.1	GRPEL1
XP_015808842.1	
XP_015810588.1	PLOD2
XP_015825083.1	PTGR2
XP_015818031.1	DOCK1
XP_015822616.1	NOL9
XP_015829727.1	PDPR
XP_015819803.1	
XP_015827677.1	AC007325.4
XP_015815890.1	
XP_015820994.1	CXCR1
XP_015807756.1	CXCR1
XP_015820978.1	CXCR1
XP_015832607.1	LALBA
XP_015830359.1	LALBA
XP_015832608.1	LALBA
XP_015804459.1	APLP1
XP_015826866.1	FH
XP_015829871.1	FAM111A
XP_015809884.1	LRRC8E
XP_015814336.1	RAB44
XP_015805492.1	ETHE1
XP_015805491.1	ETHE1
XP_015827649.1	GAPVD1
XP_015812654.1	PCYT1A
XP_015821020.1	RNF150
XP_015801640.1	RNF150
XP_015798980.1	FAM129B
XP_015801905.1	PFDN2
XP_015799753.1	ARHGAP22
XP_015819107.1	ARHGAP22
XP_015823096.1	RBM20
XP_015831144.1	KIAA0391
XP_015800159.1	KCNH1
XP_015829823.1	KCNH1
XP_015809851.1	KCNH1
XP_015818679.1	NXPH1
XP_015805294.1	NXPH1
XP_015830175.1	NXPH1
XP_015804260.1	NXPH1
XP_015806816.1	FOXO1
XP_015816388.1	FOXO1
XP_015823874.1	CCM2L
XP_015827693.1	NPC1L1
XP_015806289.1	SNAP25
XP_015809494.1	SNAP25
XP_015803852.1	SNAP25
XP_015815276.1	
XP_015832604.1	
XP_015810192.1	MYC
XP_015811988.1	MYC
XP_015829247.1	BLOC1S4
XP_015815592.1	CSTF1
XP_015802482.1	
XP_015815593.1	ZNF831
XP_015829824.1	ERO1B
XP_015811286.1	C6orf47
XP_015804110.1	TTYH3
XP_015821883.1	TTYH3
XP_015814005.1	RBM12
XP_015815903.1	CNNM4
XP_015830771.1	CNNM4
XP_015815668.1	OPCML
XP_015825778.1	ADSS
XP_015816715.1	ADSS
XP_015800066.1	ADSS
XP_015821019.1	POU1F1
XP_015822419.1	TSC2
XP_015824768.1	RAB11FIP5
XP_015798431.1	RAB11FIP5
XP_015816393.1	CLDN15
XP_015831775.1	CLDN15
XP_015816841.1	PARPBP
XP_015819564.1	RELN
XP_015813715.1	CD247
XP_015813385.1	CD247
XP_015821673.1	CD247
XP_015798873.1	IER5L
XP_015797754.1	IER5L
XP_015819573.1	LRRC10B
XP_015823552.1	DHX35
