"Checked"	"Master"	"Accession"	"Description"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Ratios: (126) / (131)"	"Ratios: (127_N) / (131)"	"Ratios: (127_C) / (131)"	"Ratios: (128_N) / (131)"	"Ratios: (128_C) / (131)"	"Ratios: (129_N) / (131)"	"Ratios: (129_C) / (131)"	"Ratios: (130_N) / (131)"	"Ratios: (130_C) / (131)"	"Ratio Standard Errors [%]: (126) / (131)"	"Ratio Standard Errors [%]: (127_N) / (131)"	"Ratio Standard Errors [%]: (127_C) / (131)"	"Ratio Standard Errors [%]: (128_N) / (131)"	"Ratio Standard Errors [%]: (128_C) / (131)"	"Ratio Standard Errors [%]: (129_N) / (131)"	"Ratio Standard Errors [%]: (129_C) / (131)"	"Ratio Standard Errors [%]: (130_N) / (131)"	"Ratio Standard Errors [%]: (130_C) / (131)"	"emPAI"	"# Peptides A2"	"# Cumulative Decoys A2"	"FDR A2"	"Confidence A2"	"|Log Prob| A2"
"False"	"IsMasterProtein"	"sptan1"	"XP_015798825.1"	"68.5760387252924"	"165"	"224"	"165"	"1"	"2479"	"284.895"	"5.29"	"0.28"	"1.15"	"1.11"	"1.35"	"1.20"	"1.01"	"1.23"	"1.26"	"1.18"	"83.77"	"5.76"	"3.10"	"3.75"	"1.00"	"3.54"	"4.81"	"4.10"	"6.56"	""	"165"	"0"	"0"	"Green"	"897.646580512768"
"False"	"IsMasterProtein"	"dync1h1"	"XP_015825333.1"	"48.6317603964663"	"215"	"282"	"207"	"1"	"4641"	"532.266"	"6.39"	"0.30"	"1.04"	"0.98"	"1.36"	"1.23"	"1.05"	"1.13"	"1.12"	"1.14"	"54.09"	"11.20"	"10.64"	"6.75"	"7.96"	"8.16"	"8.86"	"8.37"	"2.67"	""	"215"	"0"	"0"	"Green"	"878.180123345452"
"False"	"IsMasterProtein"	"LOC107396444"	"XP_015831669.1"	"62.5800939769329"	"138"	"185"	"135"	"1"	"2341"	"270.38"	"5.67"	"0.30"	"1.10"	"1.12"	"1.36"	"1.19"	"1.01"	"1.21"	"1.24"	"1.20"	"86.35"	"4.07"	"8.72"	"8.41"	"7.16"	"5.22"	"6.45"	"2.65"	"5.77"	""	"138"	"0"	"0"	"Green"	"605.461729427935"
"False"	"IsMasterProtein"	"LOC107380823"	"XP_015807669.1"	"42.5147928994083"	"117"	"173"	"115"	"1"	"3380"	"368.152"	"4.67"	"0.63"	"1.17"	"1.10"	"1.27"	"1.08"	"1.02"	"1.29"	"1.12"	"1.18"	"47.82"	"6.78"	"8.98"	"3.23"	"7.16"	"2.87"	"1.38"	"2.36"	"3.08"	""	"117"	"0"	"0"	"Green"	"518.730957033238"
"False"	"IsMasterProtein"	"LOC107380680"	"XP_015807466.1"	"56.6172106824926"	"88"	"134"	"87"	"1"	"1685"	"192.296"	"5.78"	"0.49"	"1.07"	"1.11"	"1.44"	"1.23"	"1.05"	"1.17"	"1.20"	"1.20"	"59.90"	"10.59"	"13.68"	"8.17"	"7.79"	"9.04"	"3.63"	"1.30"	"5.17"	""	"88"	"0"	"0"	"Green"	"427.241584302736"
"False"	"IsMasterProtein"	"LOC107377204"	"XP_015802159.1"	"57.1150097465887"	"67"	"168"	"67"	"1"	"1026"	"112.431"	"5.35"	"0.34"	"1.12"	"1.07"	"1.50"	"1.28"	"1.22"	"1.16"	"1.15"	"1.11"	"21.98"	"8.08"	"11.17"	"4.81"	"2.27"	"2.11"	"12.66"	"3.23"	"2.23"	""	"67"	"0"	"0"	"Green"	"403.616178529052"
"False"	"IsMasterProtein"	"map1a"	"XP_015809472.1"	"40.4834996162701"	"76"	"94"	"75"	"1"	"2606"	"285.266"	"4.83"	"0.39"	"1.14"	"1.18"	"1.48"	"1.23"	"1.04"	"1.10"	"1.16"	"1.20"	"42.88"	"11.27"	"8.36"	"10.33"	"5.29"	"3.40"	"8.05"	"6.62"	"6.23"	""	"76"	"0"	"0"	"Green"	"400.989299209977"
"False"	"IsMasterProtein"	"LOC107392070"	"XP_015825124.1"	"76.5765765765766"	"39"	"204"	"37"	"1"	"444"	"49.612"	"4.92"	"0.48"	"1.11"	"1.10"	"1.52"	"1.16"	"1.05"	"1.13"	"1.20"	"1.20"	"80.50"	"4.71"	"1.83"	"4.18"	"6.73"	"11.14"	"5.96"	"9.80"	"7.19"	""	"39"	"0"	"0"	"Green"	"365.931821378424"
"False"	"IsMasterProtein"	"LOC107384765"	"XP_015813695.1"	"73.1591448931116"	"68"	"130"	"68"	"1"	"842"	"96.794"	"7.06"	"0.35"	"1.15"	"1.17"	"1.44"	"1.20"	"1.09"	"1.32"	"1.28"	"1.27"	"63.35"	"6.60"	"10.39"	"8.26"	"3.81"	"6.38"	"7.00"	"1.83"	"2.29"	""	"68"	"0"	"0"	"Green"	"351.791325312645"
"False"	"IsMasterProtein"	"atp5b"	"XP_015807912.1"	"72.2543352601156"	"34"	"85"	"33"	"1"	"519"	"55.298"	"5.22"	"0.22"	"1.13"	"1.11"	"1.37"	"1.30"	"1.16"	"1.23"	"1.22"	"1.03"	"59.72"	"9.65"	"12.14"	"14.27"	"9.86"	"12.77"	"8.22"	"9.29"	"2.41"	""	"34"	"0"	"0"	"Green"	"341.963783958239"
"False"	"IsMasterProtein"	"aldoc"	"XP_015817220.1"	"93.1129476584022"	"40"	"127"	"40"	"1"	"363"	"39.33"	"7.11"	"0.49"	"1.14"	"1.10"	"1.38"	"1.16"	"1.13"	"1.20"	"1.17"	"1.19"	"30.09"	"5.98"	"0.98"	"8.81"	"3.68"	"10.50"	"3.36"	"4.39"	"1.46"	""	"40"	"0"	"0"	"Green"	"322.616717683966"
"False"	"IsMasterProtein"	"dmxl2"	"XP_015809027.1"	"28.815196394076"	"75"	"82"	"75"	"1"	"3106"	"343.645"	"6.38"	"0.45"	"1.15"	"1.12"	"1.64"	"1.35"	"1.02"	"1.05"	"1.21"	"1.20"	"67.16"	"7.21"	"8.03"	"2.40"	"6.23"	"2.05"	"8.04"	"18.31"	"7.73"	""	"75"	"0"	"0"	"Green"	"303.786736996042"
