"Checked"	"Master"	"Accession"	"Description"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Ratios: (126) / (131)"	"Ratios: (127_N) / (131)"	"Ratios: (127_C) / (131)"	"Ratios: (128_N) / (131)"	"Ratios: (128_C) / (131)"	"Ratios: (129_N) / (131)"	"Ratios: (129_C) / (131)"	"Ratios: (130_N) / (131)"	"Ratios: (130_C) / (131)"	"Ratio Standard Errors [%]: (126) / (131)"	"Ratio Standard Errors [%]: (127_N) / (131)"	"Ratio Standard Errors [%]: (127_C) / (131)"	"Ratio Standard Errors [%]: (128_N) / (131)"	"Ratio Standard Errors [%]: (128_C) / (131)"	"Ratio Standard Errors [%]: (129_N) / (131)"	"Ratio Standard Errors [%]: (129_C) / (131)"	"Ratio Standard Errors [%]: (130_N) / (131)"	"Ratio Standard Errors [%]: (130_C) / (131)"	"emPAI"	"# Peptides A2"	"# Cumulative Decoys A2"	"FDR A2"	"Confidence A2"	"|Log Prob| A2"
"False"	"IsMasterProtein"	"LOC107391531"	"XP_015824350.1"	"60.9123082972867"	"133"	"203"	"132"	"1"	"2543"	"270.967"	"5.71"	"1.88"	"1.04"	"1.74"	"1.76"	"1.19"	"1.76"	"0.07"	"0.10"	"0.05"	"16.31"	"6.01"	"15.35"	"11.81"	"12.10"	"10.03"	"71.16"	"47.38"	"75.72"	""	"133"	"0"	"0"	"Green"	"844.938540723197"
"False"	"IsMasterProtein"	"LOC107391340"	"XP_015824099.1"	"84.171322160149"	"63"	"241"	"62"	"1"	"537"	"58.813"	"5.26"	"1.82"	"1.06"	"1.86"	"1.62"	"1.39"	"1.70"	"0.08"	"0.10"	"0.05"	"4.87"	"4.69"	"7.74"	"3.20"	"2.83"	"6.40"	"38.32"	"35.73"	"85.39"	""	"63"	"0"	"0"	"Green"	"470.689778287686"
"False"	"IsMasterProtein"	"huwe1"	"XP_015823323.1"	"26.7538126361656"	"101"	"129"	"100"	"1"	"4590"	"501.353"	"5.3"	"1.57"	"1.01"	"1.53"	"1.57"	"1.33"	"1.69"	"0.10"	"0.11"	"0.09"	"18.72"	"3.45"	"13.57"	"6.76"	"18.30"	"9.76"	"20.42"	"18.37"	"32.89"	""	"101"	"0"	"0"	"Green"	"414.006731771788"
"False"	"IsMasterProtein"	"uba1"	"XP_015823476.1"	"69.3472090823084"	"67"	"109"	"64"	"1"	"1057"	"117.689"	"5.66"	"1.94"	"1.10"	"1.92"	"1.79"	"1.49"	"1.67"	"0.07"	"0.10"	"0.05"	"18.20"	"9.70"	"20.02"	"15.46"	"16.15"	"18.92"	"27.15"	"30.96"	"49.14"	""	"67"	"0"	"0"	"Green"	"400.812063713755"
"False"	"IsMasterProtein"	"LOC107394916"	"XP_015829615.1"	"44.4706808343172"	"94"	"117"	"92"	"1"	"2541"	"271.231"	"6.05"	"1.67"	"1.05"	"1.83"	"1.48"	"1.19"	"1.65"	"0.12"	"0.13"	"0.12"	"21.13"	"8.73"	"27.99"	"18.77"	"18.20"	"20.43"	"49.53"	"43.37"	"50.73"	""	"94"	"0"	"0"	"Green"	"385.476460731009"
"False"	"IsMasterProtein"	"LOC107393925"	"XP_015828041.1"	"82.6302729528536"	"66"	"119"	"64"	"1"	"806"	"89.284"	"5.3"	"1.66"	"1.06"	"1.71"	"1.70"	"1.33"	"1.58"	"0.07"	"0.09"	"0.04"	"11.09"	"5.60"	"11.20"	"8.80"	"7.40"	"9.19"	"41.12"	"30.71"	"75.50"	""	"66"	"0"	"0"	"Green"	"385.252030445018"
"False"	"IsMasterProtein"	"LOC107381266"	"XP_015808342.1"	"84.4290657439446"	"50"	"140"	"48"	"1"	"578"	"63.072"	"7.2"	"1.74"	"1.10"	"1.78"	"1.65"	"1.33"	"1.56"	"0.06"	"0.10"	"0.05"	"4.46"	"5.59"	"4.55"	"8.75"	"7.31"	"8.38"	"50.16"	"47.45"	"71.93"	""	"50"	"0"	"0"	"Green"	"378.151042450616"
"False"	"IsMasterProtein"	"hsp90ab1"	"XP_015802974.1"	"68.4137931034483"	"67"	"156"	"64"	"1"	"725"	"83.533"	"5.02"	"1.78"	"1.04"	"1.61"	"1.75"	"1.50"	"1.68"	"0.06"	"0.09"	"0.03"	"5.49"	"3.05"	"4.11"	"7.54"	"2.84"	"3.92"	"14.84"	"33.71"	"52.85"	""	"67"	"0"	"0"	"Green"	"374.702167590397"
"False"	"IsMasterProtein"	"LOC107397073"	"XP_015832458.1"	"84.4594594594595"	"32"	"165"	"32"	"1"	"444"	"49.64"	"4.92"	"1.74"	"1.07"	"1.73"	"1.70"	"1.39"	"1.78"	"0.05"	"0.08"	"0.04"	"9.32"	"8.85"	"4.13"	"7.17"	"8.15"	"6.56"	"23.08"	"17.99"	"34.30"	""	"32"	"0"	"0"	"Green"	"371.289688878798"
"False"	"IsMasterProtein"	"LOC107393303"	"XP_015827054.1"	"66.3170163170163"	"64"	"137"	"60"	"1"	"858"	"95.59"	"7.05"	"1.75"	"0.98"	"1.53"	"1.65"	"1.46"	"1.94"	"0.05"	"0.07"	"0.04"	"16.29"	"12.00"	"16.13"	"11.93"	"5.91"	"11.04"	"25.03"	"8.50"	"35.40"	""	"64"	"0"	"0"	"Green"	"349.029439507045"
