Kf symbol,Kf Id,Kf Id2,Human symbol,Human Ensembl Id,Human Ensembl Protein Id
pxmp4,XM_015959227.1,XP_015814713.1,PXMP4,ENSG00000101417,ENSP00000386385
cdh18,XM_015955508.1,XP_015810994.1,CDH18,ENSG00000145526,ENSP00000274170
LOC107373608,XM_015941737.1,XP_015797223.1,TCF20,ENSG00000100207,ENSP00000352463
plcd3,XM_015948830.1,XP_015804316.1,PLCD3,ENSG00000161714,ENSP00000479636
LOC107386534,XM_015960987.1,XP_015816473.1,TAF1,ENSG00000147133,ENSP00000406549
ephx2,XM_015957975.1,XP_015813461.1,EPHX2,ENSG00000120915,ENSP00000430269
LOC107372693,XM_015940897.1,XP_015796383.1,ZNF235,ENSG00000159917,ENSP00000291182
LOC107394856,XM_015974016.1,XP_015829502.1,MR1,ENSG00000153029,ENSP00000477563
LOC107372409,XM_015940640.1,XP_015796126.1,CDR2L,ENSG00000109089,ENSP00000336587
btbd3,XM_015943996.1,XP_015799482.1,BTBD3,ENSG00000132640,ENSP00000367471
LOC107396538,XM_015976300.1,XP_015831786.1,DPP10,ENSG00000175497,ENSP00000376855
LOC107387362,XM_015962294.1,XP_015817780.1,ALDH9A1,ENSG00000143149,ENSP00000346827
derl1,XM_015949461.1,XP_015804947.1,DERL1,ENSG00000136986,ENSP00000259512
LOC107392936,XM_015971013.1,XP_015826499.1,AP1M1,ENSG00000072958,ENSP00000388996
kcnh4,XM_015963078.1,XP_015818564.1,KCNH4,ENSG00000089558,ENSP00000264661
brd7,XM_015952815.1,XP_015808301.1,BRD7,ENSG00000166164,ENSP00000378181
LOC107378477,XM_015948708.1,XP_015804194.1,MAP3K14,ENSG00000006062,ENSP00000482657
rnf181,XM_015972017.1,XP_015827503.1,RNF126,ENSG00000070423,ENSP00000292363
fam72a,XM_015959572.1,XP_015815058.1,FAM72A,ENSG00000196550,ENSP00000356096
tmem5,XM_015964961.1,XP_015820447.1,TMEM5,ENSG00000118600,ENSP00000261234
bcl2,XM_015956860.1,XP_015812346.1,BCL2,ENSG00000171791,ENSP00000329623
bckdha,XM_015951252.1,XP_015806738.1,CTC-435M10.3,ENSG00000255730,ENSP00000443246
f9,XM_015961358.1,XP_015816844.1,F9,ENSG00000101981,ENSP00000218099
sdad1,XM_015942943.1,XP_015798429.1,SDAD1,ENSG00000198301,ENSP00000348596
LOC107384794,XM_015958248.1,XP_015813734.1,FAM177A1,ENSG00000151327,ENSP00000280987
LOC107384592,XM_015957935.1,XP_015813421.1,TAAR6,ENSG00000146383,ENSP00000275198
LOC107373225,XM_015941391.1,XP_015796877.1,BTN1A1,ENSG00000124557,ENSP00000244513
LOC107396647,XM_015976450.1,XP_015831936.1,SEBOX,ENSG00000274529,ENSP00000395142
LOC107383963,XM_015956911.1,XP_015812397.1,SLC12A9,ENSG00000146828,ENSP00000275730
LOC107393628,XM_015972129.1,XP_015827615.1,TMEM132C,ENSG00000181234,ENSP00000410852
LOC107381575,XM_015953322.1,XP_015808808.1,CNGB1,ENSG00000070729,ENSP00000251102
snrpc,XM_015958582.1,XP_015814068.1,SNRPC,ENSG00000124562,ENSP00000363129
fnbp1l,XM_015971126.1,XP_015826612.1,FNBP1L,ENSG00000137942,ENSP00000473921
elavl3,XM_015948529.1,XP_015804015.1,ELAVL3,ENSG00000196361,ENSP00000352162
LOC107393457,XM_015971820.1,XP_015827306.1,ZNF862,ENSG00000106479,ENSP00000223210
LOC107385633,XM_015959634.1,XP_015815120.1,LRP1,ENSG00000123384,ENSP00000243077
tanc1,XM_015966599.1,XP_015822085.1,TANC1,ENSG00000115183,ENSP00000263635
LOC107373349,XM_015941499.1,XP_015796985.1,HIST2H3D,ENSG00000183598,ENSP00000333277
LOC107381557,XM_015953302.1,XP_015808788.1,ABTB2,ENSG00000166016,ENSP00000410157
uncx,XM_015948615.1,XP_015804101.1,UNCX,ENSG00000164853,ENSP00000314480
zranb1,XM_015962967.1,XP_015818453.1,ZRANB1,ENSG00000019995,ENSP00000352676
LOC107396576,XM_015976345.1,XP_015831831.1,HBEGF,ENSG00000113070,ENSP00000230990
LOC107389928,XM_015966344.1,XP_015821830.1,CD58,ENSG00000116815,ENSP00000358501
LOC107384082,XM_015957121.1,XP_015812607.1,SLC25A24,ENSG00000085491,ENSP00000457733
sod3,XM_015943781.1,XP_015799267.1,SOD3,ENSG00000109610,ENSP00000371554
ears2,XM_015965003.1,XP_015820489.1,EARS2,ENSG00000103356,ENSP00000456218
ddx28,XM_015953292.1,XP_015808778.1,DDX28,ENSG00000182810,ENSP00000332340
qprt,XM_015976172.1,XP_015831658.1,QPRT,ENSG00000103485,ENSP00000378782
LOC107389231,XM_015965266.1,XP_015820752.1,ZNF319,ENSG00000166188,ENSP00000299237
bptf,XM_015968857.1,XP_015824343.1,BPTF,ENSG00000171634,ENSP00000315454
proser1,XM_015961694.1,XP_015817180.1,PROSER1,ENSG00000120685,ENSP00000332034
LOC107377290,XM_015946809.1,XP_015802295.1,RNF19B,ENSG00000116514,ENSP00000362555
LOC107380954,XM_015952379.1,XP_015807865.1,TRERF1,ENSG00000124496,ENSP00000439689
LOC107372782,XM_015940989.1,XP_015796475.1,OR13C2,ENSG00000276119,ENSP00000438815
map3k7,XM_015975470.1,XP_015830956.1,MAP3K7,ENSG00000135341,ENSP00000358335
tspan13,XM_015976623.1,XP_015832109.1,TSPAN13,ENSG00000106537,ENSP00000262067
mrps15,XM_015950083.1,XP_015805569.1,MRPS15,ENSG00000116898,ENSP00000362208
oat,XM_015962973.1,XP_015818459.1,OAT,ENSG00000065154,ENSP00000357838
LOC107391167,XM_015968304.1,XP_015823790.1,ATXN1,ENSG00000124788,ENSP00000416360
nop14,XM_015942856.1,XP_015798342.1,NOP14,ENSG00000087269,ENSP00000315674
ptpn23,XM_015949866.1,XP_015805352.1,PTPN23,ENSG00000076201,ENSP00000265562
LOC107377248,XM_015946751.1,XP_015802237.1,NFKBIZ,ENSG00000144802,ENSP00000325663
LOC107377664,XM_015947428.1,XP_015802914.1,MATN3,ENSG00000132031,ENSP00000383894
cluap1,XM_015970790.1,XP_015826276.1,CLUAP1,ENSG00000103351,ENSP00000344392
pigg,XM_015953260.1,XP_015808746.1,PIGG,ENSG00000174227,ENSP00000415203
LOC107391468,XM_015968786.1,XP_015824272.1,MDFIC,ENSG00000135272,ENSP00000484656
LOC107384612,XM_015957959.1,XP_015813445.1,KALRN,ENSG00000160145,ENSP00000353109
LOC107382246,XM_015954308.1,XP_015809794.1,AANAT,ENSG00000129673,ENSP00000250615
slc12a4,XM_015952845.1,XP_015808331.1,SLC12A4,ENSG00000124067,ENSP00000395983
LOC107386895,XM_015961557.1,XP_015817043.1,HIPK2,ENSG00000064393,ENSP00000385571
cdkn2b,XM_015943725.1,XP_015799211.1,CDKN2B,ENSG00000147883,ENSP00000276925
LOC107385715,XM_015959787.1,XP_015815273.1,ARPC4,ENSG00000241553,ENSP00000388169
cdc42bpb,XM_015947813.1,XP_015803299.1,CDC42BPB,ENSG00000198752,ENSP00000355237
rpl37a,XM_015957446.1,XP_015812932.1,RPL37A,ENSG00000197756,ENSP00000418082
ky,XM_015974906.1,XP_015830392.1,KY,ENSG00000174611,ENSP00000397598
dtx1,XM_015972181.1,XP_015827667.1,DTX4,ENSG00000110042,ENSP00000227451
adra1d,XM_015943639.1,XP_015799125.1,ADRA1D,ENSG00000171873,ENSP00000368766
cdh23,XM_015943881.1,XP_015799367.1,CDH23,ENSG00000107736,ENSP00000224721
top2b,XM_015955759.1,XP_015811245.1,TOP2B,ENSG00000077097,ENSP00000264331
tbc1d2,XM_015952452.1,XP_015807938.1,TBC1D2,ENSG00000095383,ENSP00000481721
cdh20,XM_015955515.1,XP_015811001.1,CDH20,ENSG00000101542,ENSP00000444767
LOC107386498,XM_015960927.1,XP_015816413.1,TRIM35,ENSG00000104228,ENSP00000301924
LOC107379775,XM_015950689.1,XP_015806175.1,PAK4,ENSG00000130669,ENSP00000353625
LOC107397057,XM_015976928.1,XP_015832414.1,GJC1,ENSG00000182963,ENSP00000411528
LOC107395517,XM_015974911.1,XP_015830397.1,ZNF468,ENSG00000204604,ENSP00000470381
