Uniprot ID,Gene Name,Log2 Ratio L/H NormalizedWTday01,Log2 Ratio L/H NormalizedWTday06,Log2 Ratio L/H NormalizedWTday12,Log2 Ratio L/H NormalizedWTday17,Log2 Ratio L/H NormalizedWTday22,Log2 Ratio L/H NormalizedDAF2day01,Log2 Ratio L/H NormalizedDAF2day06,Log2 Ratio L/H NormalizedDAF2day12,Log2 Ratio L/H NormalizedDAF2day17,Log2 Ratio L/H NormalizedDAF2day22,Log2 Ratio L/H NormalizedDAF2day27,Log2 Ratio L/H NormalizedDAF16day01,Log2 Ratio L/H NormalizedDAF16day06,Log2 Ratio L/H NormalizedDAF16day12,Log2 Ratio L/H NormalizedDAF16day17,Log2 Ratio L/H NormalizedHSF1day01,Log2 Ratio L/H NormalizedHSF1day06,Log2 Ratio L/H NormalizedHSF1day12,Peptides WTday01,Peptides WTday06,Peptides WTday12,Peptides WTday17,Peptides WTday22,Peptides DAF2day01,Peptides DAF2day06,Peptides DAF2day12,Peptides DAF2day17,Peptides DAF2day22,Peptides DAF2day27,Peptides DAF16day01,Peptides DAF16day06,Peptides DAF16day12,Peptides DAF16day17,Peptides HSF1day01,Peptides HSF1day06,Peptides HSF1day12,Ratio Count WTday01,Ratio Count WTday06,Ratio Count WTday12,Ratio Count WTday17,Ratio Count WTday22,Ratio Count DAF2day01,Ratio Count DAF2day06,Ratio Count DAF2day12,Ratio Count DAF2day17,Ratio Count DAF2day22,Ratio Count DAF2day27,Ratio Count DAF16day01,Ratio Count DAF16day06,Ratio Count DAF16day12,Ratio Count DAF16day17,Ratio Count HSF1day01,Ratio Count HSF1day06,Ratio Count HSF1day12,log abs.LFQ WTday01,log abs.LFQ WTday06,log abs.LFQ WTday12,log abs.LFQ WTday17,log abs.LFQ WTday22,log abs.LFQ DAF2day01,log abs.LFQ DAF2day06,log abs.LFQ DAF2day12,log abs.LFQ DAF2day17,log abs.LFQ DAF2day22,log abs.LFQ DAF2day27,log abs.LFQ DAF16day01,log abs.LFQ DAF16day06,log abs.LFQ DAF16day12,log abs.LFQ DAF16day17,log abs.LFQ HSF1day01,log abs.LFQ HSF1day06,log abs.LFQ HSF1day12,Posterior Error Probability,Sequence Coverage (%),Sequence Length (Amino Acids)
A0A9R9,wht-7,NA,NA,1.808083667,0.240247606,NA,NA,NA,NA,1.13799701,0.88172002,NA,-2.096363068,NA,NA,1.379957928,NA,NA,NA,0,1,2,1,0,0,0,1,2,1,0,1,1,1,1,1,0,0,0,1,5,2,0,0,0,1,2,2,0,2,1,1,2,1,0,0,NA,4.257198426,6.267945726,4.682081869,NA,NA,NA,5.015359755,5.603425869,5.628133388,NA,4.823409015,4.930123444,4.713977486,5.56580061,4.78332461,NA,NA,4.46E-14,9.7,547
A0A9S2;Q86FM9,,0.231853795,0.130160172,0.0069851,-0.243303487,-0.530270548,0.488815366,0.788464418,0.896871684,0.637692836,0.747269482,0.510539272,0.311577907,0.866147175,0.572265117,0.083874996,0.358287516,0.155742914,0.422385069,12,8,10,5,5,9,12,10,9,11,7,11,7,5,5,11,6,6,12,10,12,7,7,9,12,11,12,13,8,11,10,7,8,13,7,7,6.313888302,5.596948787,5.957803561,5.561947671,5.213198892,5.850627858,6.182728418,5.903361336,6.111228898,6.154089069,6.162265614,5.996656121,5.971994438,5.592809411,5.285377253,6.33274135,5.423540766,5.616181333,2.05E-304,28.5,1187
A0FLQ5,,NA,NA,0.21049609,NA,NA,NA,-0.141040345,0.297200632,1.00500038,0.983275491,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,2,0,1,1,2,2,2,2,0,0,0,0,0,0,0,1,NA,NA,5.814873275,NA,5.153601474,4.086395427,5.034387784,4.822410013,5.256621546,5.759947214,NA,NA,NA,NA,NA,NA,NA,4.693031873,1.32E-11,16,100
A0PCJ1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.790158447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.70E-11,14.5,110
A0PD34,,-0.557973676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.421909973,NA,NA,NA,NA,NA,NA,2,0,0,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,2,0,0,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,6.115976429,NA,NA,4.80009818,5.378452411,5.339809065,5.216825423,4.84565606,5.485366466,5.248267604,5.556507536,5.566213511,5.265525335,5.22868261,5.179867631,6.342205479,NA,NA,5.24E-12,9.1,308
A0T4F9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.190891717,4.747512795,NA,NA,NA,NA,NA,NA,NA,1.22E-17,16.7,114
A2V8C3,ttr-42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,6.150019202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.86E-32,18.7,139
A2V8C8,,NA,0.387109687,0.426606083,0.623331765,0.61672426,NA,-0.079429315,NA,NA,-1.148738913,-0.438079892,-4.299684258,-0.395611249,-0.275483893,-0.170822399,-2.728813016,1.147937222,1.199288504,1,2,2,3,2,1,2,1,1,2,2,2,2,2,2,1,3,3,1,2,4,5,3,1,3,1,1,2,2,3,6,3,6,2,5,5,4.995639581,6.124080157,6.966746976,6.996034211,6.63612667,4.594514092,6.62383829,5.545455568,5.467134341,6.66738757,7.053155303,5.37333505,6.749326556,6.548684171,6.375535593,5.586654806,6.866635817,7.114610984,1.11E-35,31.7,145
A3FPI6,,-2.743622676,NA,1.743085967,2.560813061,1.885712942,-2.321870386,-0.320080262,1.43354526,1.646292794,NA,NA,NA,-0.218595202,0.999913441,1.589051116,NA,-0.594644089,1.119886573,3,1,3,2,2,2,3,3,3,2,2,1,2,3,2,1,2,3,3,1,4,2,2,2,3,5,4,1,1,1,2,4,2,1,2,3,5.501962532,4.841371986,6.051345499,6.416557301,6.178026788,4.581414848,5.720192391,6.156549151,6.294686624,6.218588016,6.313593065,5.62765256,5.45866806,5.950963301,5.732023648,4.866564962,5.256693698,5.860391916,7.31E-17,15.6,211
A3FPI7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.476643268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.478999132,NA,NA,4.67E-07,8.8,160
