"Checked"	"Master"	"Accession"	"Description"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Ratios: (126) / (131)"	"Ratios: (127_N) / (131)"	"Ratios: (127_C) / (131)"	"Ratios: (128_N) / (131)"	"Ratios: (128_C) / (131)"	"Ratios: (129_N) / (131)"	"Ratios: (129_C) / (131)"	"Ratios: (130_N) / (131)"	"Ratios: (130_C) / (131)"	"Ratio Standard Errors [%]: (126) / (131)"	"Ratio Standard Errors [%]: (127_N) / (131)"	"Ratio Standard Errors [%]: (127_C) / (131)"	"Ratio Standard Errors [%]: (128_N) / (131)"	"Ratio Standard Errors [%]: (128_C) / (131)"	"Ratio Standard Errors [%]: (129_N) / (131)"	"Ratio Standard Errors [%]: (129_C) / (131)"	"Ratio Standard Errors [%]: (130_N) / (131)"	"Ratio Standard Errors [%]: (130_C) / (131)"	"emPAI"	"# Peptides A2"	"# Cumulative Decoys A2"	"FDR A2"	"Confidence A2"	"|Log Prob| A2"
"False"	"IsMasterProtein"	"LOC107377812"	"XP_015803164.1"	"66.1835748792271"	"254"	"773"	"249"	"1"	"3933"	"442.51"	"6.11"	"0.70"	"0.48"	"1.81"	"1.39"	"0.45"	"0.75"	"1.18"	"1.64"	"1.17"	"4.66"	"8.63"	"3.67"	"4.26"	"5.31"	"2.81"	"2.96"	"2.00"	"4.28"	""	"254"	"0"	"0"	"Green"	"1829.11045030268"
"False"	"IsMasterProtein"	"LOC107379827"	"XP_015806254.1"	"39.2646480534801"	"180"	"357"	"178"	"1"	"5086"	"576.404"	"5.15"	"0.96"	"0.55"	"1.14"	"1.40"	"0.49"	"0.47"	"1.23"	"1.55"	"1.80"	"3.33"	"4.23"	"6.45"	"6.00"	"7.84"	"8.25"	"5.70"	"4.60"	"4.87"	""	"180"	"0"	"0"	"Green"	"746.831107019487"
"False"	"IsMasterProtein"	"LOC107387945"	"XP_015818714.1"	"63.3534136546185"	"84"	"522"	"81"	"1"	"996"	"109.057"	"5.3"	"0.75"	"1.45"	"0.92"	"1.33"	"0.85"	"0.56"	"1.67"	"1.03"	"1.37"	"8.53"	"5.72"	"5.11"	"3.31"	"9.48"	"8.37"	"5.42"	"3.95"	"5.66"	""	"84"	"0"	"0"	"Green"	"715.590174177251"
"False"	"IsMasterProtein"	"LOC107384141"	"XP_015812709.1"	"76.8065268065268"	"80"	"352"	"77"	"1"	"858"	"95.56"	"6.61"	"0.50"	"0.60"	"1.05"	"1.52"	"1.26"	"1.16"	"1.14"	"1.01"	"1.59"	"5.31"	"5.88"	"5.66"	"6.96"	"5.38"	"4.56"	"6.18"	"2.73"	"2.27"	""	"80"	"0"	"0"	"Green"	"542.524761483292"
"False"	"IsMasterProtein"	"LOC107384035"	"XP_015812534.1"	"72.5090036014406"	"70"	"412"	"70"	"1"	"833"	"90.935"	"8.27"	"0.61"	"0.70"	"1.91"	"1.62"	"0.88"	"0.98"	"0.98"	"0.92"	"1.44"	"4.95"	"10.94"	"8.09"	"6.17"	"6.22"	"3.38"	"5.36"	"4.37"	"5.53"	""	"70"	"0"	"0"	"Green"	"466.480740737083"
"False"	"IsMasterProtein"	"LOC107382447"	"XP_015810064.1"	"62.7906976744186"	"75"	"180"	"75"	"1"	"1247"	"136.7"	"7.33"	"0.54"	"1.88"	"0.89"	"0.90"	"0.96"	"0.54"	"1.76"	"1.07"	"1.02"	"11.12"	"5.53"	"8.57"	"7.70"	"4.63"	"11.58"	"5.31"	"7.36"	"5.87"	""	"75"	"0"	"0"	"Green"	"460.732303209304"
"False"	"IsMasterProtein"	"LOC107381855"	"XP_015809259.1"	"62.9420084865629"	"91"	"212"	"89"	"1"	"1414"	"156.769"	"6.96"	"0.54"	"1.78"	"0.86"	"0.82"	"1.07"	"0.52"	"1.99"	"1.12"	"0.95"	"8.25"	"13.06"	"4.75"	"3.44"	"7.18"	"7.00"	"6.17"	"7.90"	"4.33"	""	"91"	"0"	"0"	"Green"	"425.816482458362"
"False"	"IsMasterProtein"	"myom1"	"XP_015810166.1"	"49.5533055390113"	"81"	"179"	"81"	"1"	"1679"	"186.461"	"5.96"	"0.52"	"1.92"	"0.97"	"1.07"	"0.89"	"0.47"	"1.92"	"1.09"	"1.05"	"8.66"	"9.68"	"9.64"	"6.37"	"11.01"	"10.23"	"10.92"	"8.55"	"4.95"	""	"81"	"0"	"0"	"Green"	"420.797121779267"
"False"	"IsMasterProtein"	"LOC107386385"	"XP_015816230.1"	"74.8218527315914"	"79"	"239"	"79"	"1"	"842"	"97.144"	"6.99"	"0.67"	"1.42"	"0.93"	"1.30"	"0.93"	"0.49"	"1.91"	"0.97"	"1.19"	"6.89"	"11.11"	"5.26"	"13.42"	"6.52"	"5.49"	"12.57"	"2.97"	"9.30"	""	"79"	"0"	"0"	"Green"	"417.738497499079"
"False"	"IsMasterProtein"	"LOC107385025"	"XP_015814078.1"	"41.869651086241"	"82"	"223"	"80"	"1"	"1519"	"164.492"	"6.24"	"0.52"	"0.98"	"1.08"	"0.96"	"0.73"	"0.70"	"1.60"	"1.17"	"1.60"	"12.73"	"4.69"	"3.97"	"9.18"	"5.68"	"13.50"	"6.62"	"4.66"	"4.65"	""	"82"	"0"	"0"	"Green"	"408.144262995294"
