"Checked"	"Master"	"Accession"	"Description"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Ratios: (126) / (131)"	"Ratios: (127_N) / (131)"	"Ratios: (127_C) / (131)"	"Ratios: (128_N) / (131)"	"Ratios: (128_C) / (131)"	"Ratios: (129_N) / (131)"	"Ratios: (129_C) / (131)"	"Ratios: (130_N) / (131)"	"Ratios: (130_C) / (131)"	"Ratio Standard Errors [%]: (126) / (131)"	"Ratio Standard Errors [%]: (127_N) / (131)"	"Ratio Standard Errors [%]: (127_C) / (131)"	"Ratio Standard Errors [%]: (128_N) / (131)"	"Ratio Standard Errors [%]: (128_C) / (131)"	"Ratio Standard Errors [%]: (129_N) / (131)"	"Ratio Standard Errors [%]: (129_C) / (131)"	"Ratio Standard Errors [%]: (130_N) / (131)"	"Ratio Standard Errors [%]: (130_C) / (131)"	"emPAI"	"# Peptides A2"	"# Cumulative Decoys A2"	"FDR A2"	"Confidence A2"	"|Log Prob| A2"
"False"	"IsMasterProtein"	"LOC107391531"	"XP_015824350.1"	"51.8285489579237"	"119"	"183"	"118"	"1"	"2543"	"270.967"	"5.71"	"1.00"	"0.83"	"0.83"	"0.61"	"1.16"	"0.72"	"2.38"	"1.47"	"0.91"	"0.92"	"7.83"	"26.41"	"13.47"	"8.65"	"10.84"	"9.73"	"10.34"	"14.45"	""	"119"	"0"	"0"	"Green"	"586.925181376375"
"False"	"IsMasterProtein"	"LOC107380514"	"XP_015807287.1"	"37.218251786696"	"60"	"93"	"59"	"1"	"1819"	"207.132"	"6.15"	"0.87"	"0.67"	"0.66"	"0.71"	"1.19"	"0.93"	"1.66"	"1.48"	"1.78"	"14.45"	"39.42"	"35.88"	"40.35"	"14.83"	"13.24"	"30.61"	"28.45"	"14.38"	""	"60"	"0"	"0"	"Green"	"260.878538519031"
"False"	"IsMasterProtein"	"LOC107391340"	"XP_015824099.1"	"59.5903165735568"	"51"	"148"	"50"	"1"	"537"	"58.813"	"5.26"	"0.95"	"0.92"	"0.54"	"0.40"	"1.15"	"0.48"	"2.04"	"1.47"	"1.14"	"8.42"	"23.52"	"23.78"	"24.82"	"10.97"	"26.43"	"19.83"	"11.91"	"11.93"	""	"51"	"0"	"0"	"Green"	"238.160301986351"
"False"	"IsMasterProtein"	"LOC107394916"	"XP_015829615.1"	"24.0062967335695"	"55"	"65"	"52"	"1"	"2541"	"271.231"	"6.05"	"1.09"	"0.90"	"0.55"	"0.59"	"1.13"	"0.78"	"2.57"	"1.89"	"0.79"	"10.34"	"1.87"	"55.55"	"32.48"	"12.15"	"22.70"	"40.70"	"34.32"	"2.40"	""	"55"	"0"	"0"	"Green"	"211.354326521573"
"False"	"IsMasterProtein"	"LOC107393303"	"XP_015827054.1"	"53.2634032634033"	"56"	"102"	"52"	"1"	"858"	"95.59"	"7.05"	"0.99"	"0.83"	"0.61"	"0.53"	"1.17"	"0.64"	"2.34"	"1.65"	"0.88"	"18.02"	"20.92"	"73.45"	"48.38"	"11.00"	"6.34"	"49.52"	"47.18"	"22.62"	""	"56"	"0"	"0"	"Green"	"196.533163833834"
"False"	"IsMasterProtein"	"sptan1"	"XP_015798825.1"	"25.9378781766841"	"63"	"69"	"63"	"1"	"2479"	"284.895"	"5.29"	"1.02"	"0.71"	"0.61"	"0.60"	"1.24"	"0.74"	"2.30"	"1.62"	"0.97"	"10.96"	"45.92"	"47.18"	"59.60"	"22.67"	"30.17"	"40.26"	"23.18"	"15.79"	""	"63"	"0"	"0"	"Green"	"194.632112917208"
"False"	"IsMasterProtein"	"LOC107377659"	"XP_015802908.1"	"21.0239321417752"	"77"	"107"	"73"	"1"	"3301"	"369.238"	"6.34"	"0.97"	"0.87"	"0.83"	"0.99"	"1.13"	"0.99"	"1.39"	"1.18"	"1.00"	"2.83"	"18.63"	"34.39"	"29.63"	"11.51"	"6.21"	"35.95"	"28.22"	"0.89"	""	"77"	"0"	"0"	"Green"	"190.247876126293"
"False"	"IsMasterProtein"	"mvp"	"XP_015831781.1"	"44.6389496717724"	"38"	"57"	"38"	"1"	"914"	"102.013"	"5.47"	"0.61"	"0.78"	"0.46"	"0.43"	"0.92"	"0.55"	"3.07"	"2.29"	"0.91"	"19.43"	"27.81"	"23.82"	"40.89"	"9.57"	"16.85"	"32.31"	"14.31"	"12.43"	""	"38"	"0"	"0"	"Green"	"162.931099339187"
"False"	"IsMasterProtein"	"LOC107377205"	"XP_015802160.1"	"38.1231671554252"	"38"	"55"	"35"	"1"	"1023"	"112.42"	"5.53"	"0.89"	"0.73"	"0.30"	"0.51"	"1.05"	"0.98"	"2.29"	"1.82"	"0.82"	"13.65"	"33.17"	"44.20"	"19.84"	"19.34"	"17.28"	"31.62"	"22.94"	"27.75"	""	"38"	"0"	"0"	"Green"	"162.192064146527"
"False"	"IsMasterProtein"	"LOC107396202"	"XP_015831279.1"	"40.2677651905252"	"36"	"57"	"36"	"1"	"971"	"110.265"	"5.8"	"0.79"	"0.63"	"0.57"	"0.37"	"1.05"	"0.55"	"1.94"	"1.67"	"1.34"	"14.38"	"51.55"	"76.55"	"63.33"	"18.53"	"31.81"	"70.70"	"43.80"	"19.58"	""	"36"	"0"	"0"	"Green"	"154.596010978801"
