"Checked"	"Master"	"Accession"	"Description"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Ratios: (126) / (131)"	"Ratios: (127_N) / (131)"	"Ratios: (127_C) / (131)"	"Ratios: (128_N) / (131)"	"Ratios: (128_C) / (131)"	"Ratios: (129_N) / (131)"	"Ratios: (129_C) / (131)"	"Ratios: (130_N) / (131)"	"Ratios: (130_C) / (131)"	"Ratio Standard Errors [%]: (126) / (131)"	"Ratio Standard Errors [%]: (127_N) / (131)"	"Ratio Standard Errors [%]: (127_C) / (131)"	"Ratio Standard Errors [%]: (128_N) / (131)"	"Ratio Standard Errors [%]: (128_C) / (131)"	"Ratio Standard Errors [%]: (129_N) / (131)"	"Ratio Standard Errors [%]: (129_C) / (131)"	"Ratio Standard Errors [%]: (130_N) / (131)"	"Ratio Standard Errors [%]: (130_C) / (131)"	"emPAI"	"# Peptides A2"	"# Cumulative Decoys A2"	"FDR A2"	"Confidence A2"	"|Log Prob| A2"
"False"	"IsMasterProtein"	"LOC107376217"	"XP_015800690.1"	"53.3129459734964"	"121"	"158"	"121"	"1"	"1962"	"227.063"	"5.49"	"0.70"	"1.02"	"0.69"	"0.68"	"0.84"	"1.08"	"2.20"	"1.50"	"0.82"	"10.02"	"7.53"	"9.09"	"3.93"	"8.83"	"14.26"	"7.56"	"8.11"	"4.76"	""	"121"	"0"	"0"	"Green"	"529.413762535812"
"False"	"IsMasterProtein"	"LOC107393303"	"XP_015827054.1"	"71.2121212121212"	"81"	"178"	"77"	"1"	"858"	"95.59"	"7.05"	"1.30"	"1.12"	"0.88"	"1.20"	"0.95"	"1.42"	"0.99"	"1.17"	"1.07"	"13.16"	"6.32"	"10.47"	"4.82"	"4.71"	"14.84"	"2.97"	"0.77"	"1.99"	""	"81"	"0"	"0"	"Green"	"465.605560723229"
"False"	"IsMasterProtein"	"sptan1"	"XP_015798825.1"	"46.9140782573618"	"100"	"122"	"100"	"1"	"2479"	"284.895"	"5.29"	"0.99"	"1.03"	"0.94"	"0.88"	"0.95"	"0.81"	"0.96"	"1.51"	"1.19"	"1.67"	"3.36"	"5.19"	"5.50"	"6.74"	"25.58"	"4.02"	"9.04"	"10.74"	""	"100"	"0"	"0"	"Green"	"464.379273752655"
"False"	"IsMasterProtein"	"iqgap2"	"XP_015827985.1"	"49.6991576413959"	"81"	"108"	"81"	"1"	"1662"	"189.703"	"6.42"	"1.86"	"1.20"	"0.97"	"0.96"	"1.09"	"1.78"	"0.80"	"0.93"	"0.84"	"5.11"	"6.54"	"5.90"	"3.15"	"13.15"	"14.67"	"13.46"	"5.65"	"10.25"	""	"81"	"0"	"0"	"Green"	"435.868100992077"
"False"	"IsMasterProtein"	"cltc"	"XP_015816180.1"	"49.9106611078023"	"77"	"113"	"74"	"1"	"1679"	"191.619"	"5.66"	"1.09"	"1.10"	"1.30"	"1.08"	"1.07"	"1.56"	"0.70"	"1.03"	"0.77"	"8.59"	"11.00"	"11.25"	"6.08"	"8.53"	"16.82"	"2.95"	"5.59"	"8.50"	""	"77"	"0"	"0"	"Green"	"408.266083717673"
"False"	"IsMasterProtein"	"rrbp1"	"XP_015799639.1"	"63.4991119005329"	"70"	"93"	"70"	"1"	"1126"	"123.215"	"5.59"	"1.21"	"0.91"	"0.74"	"2.28"	"1.44"	"1.43"	"0.68"	"1.02"	"0.68"	"5.60"	"6.50"	"7.06"	"0.50"	"8.70"	"14.04"	"11.93"	"8.47"	"7.06"	""	"70"	"0"	"0"	"Green"	"384.201668255428"
"False"	"IsMasterProtein"	"snd1"	"XP_015815216.1"	"67.6180021953897"	"71"	"154"	"68"	"1"	"911"	"102"	"7.21"	"1.25"	"0.98"	"0.68"	"1.01"	"0.96"	"1.43"	"1.19"	"1.33"	"0.92"	"7.47"	"9.61"	"4.10"	"3.22"	"4.15"	"26.09"	"7.48"	"2.05"	"4.00"	""	"71"	"0"	"0"	"Green"	"381.932560310418"
"False"	"IsMasterProtein"	"mthfd1"	"XP_015825808.1"	"70.1284796573876"	"65"	"100"	"62"	"1"	"934"	"100.627"	"7.68"	"1.73"	"1.10"	"0.86"	"1.70"	"1.22"	"1.41"	"0.75"	"0.98"	"0.93"	"10.23"	"1.45"	"6.38"	"5.34"	"6.71"	"15.16"	"8.74"	"3.55"	"1.70"	""	"65"	"0"	"0"	"Green"	"379.930227588249"
"False"	"IsMasterProtein"	"hdlbp"	"XP_015817830.1"	"62.1069182389937"	"88"	"145"	"84"	"1"	"1272"	"141.191"	"6.81"	"1.28"	"0.93"	"0.86"	"1.62"	"1.04"	"1.73"	"0.96"	"1.14"	"0.56"	"5.96"	"7.69"	"6.76"	"1.53"	"4.89"	"11.15"	"3.73"	"7.85"	"6.24"	""	"88"	"0"	"0"	"Green"	"372.075334770396"
"False"	"IsMasterProtein"	"LOC107387751"	"XP_015818399.1"	"76.1992619926199"	"57"	"196"	"57"	"1"	"542"	"59.767"	"8.13"	"1.54"	"1.76"	"0.86"	"0.92"	"1.02"	"0.90"	"1.04"	"1.16"	"0.85"	"4.65"	"4.25"	"8.40"	"11.78"	"1.92"	"28.09"	"4.22"	"5.99"	"6.30"	""	"57"	"0"	"0"	"Green"	"353.059307740198"
"False"	"IsMasterProtein"	"pygl"	"XP_015824947.1"	"68.464243845252"	"67"	"100"	"64"	"1"	"853"	"97.839"	"7.17"	"0.56"	"0.65"	"0.53"	"0.45"	"0.59"	"0.39"	"1.74"	"2.27"	"1.89"	"7.16"	"18.91"	"3.57"	"8.11"	"15.06"	"14.97"	"3.18"	"3.24"	"8.47"	""	"67"	"0"	"0"	"Green"	"346.366183326754"
