"Checked"	"Master"	"Accession"	"Description"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Ratios: (126) / (131)"	"Ratios: (127_N) / (131)"	"Ratios: (127_C) / (131)"	"Ratios: (128_N) / (131)"	"Ratios: (128_C) / (131)"	"Ratios: (129_N) / (131)"	"Ratios: (129_C) / (131)"	"Ratios: (130_N) / (131)"	"Ratios: (130_C) / (131)"	"Ratio Standard Errors [%]: (126) / (131)"	"Ratio Standard Errors [%]: (127_N) / (131)"	"Ratio Standard Errors [%]: (127_C) / (131)"	"Ratio Standard Errors [%]: (128_N) / (131)"	"Ratio Standard Errors [%]: (128_C) / (131)"	"Ratio Standard Errors [%]: (129_N) / (131)"	"Ratio Standard Errors [%]: (129_C) / (131)"	"Ratio Standard Errors [%]: (130_N) / (131)"	"Ratio Standard Errors [%]: (130_C) / (131)"	"emPAI"	"# Peptides A2"	"# Cumulative Decoys A2"	"FDR A2"	"Confidence A2"	"|Log Prob| A2"
"False"	"IsMasterProtein"	"LOC107391531"	"XP_015824350.1"	"63.9009044435706"	"136"	"212"	"135"	"1"	"2543"	"270.967"	"5.71"	"1.07"	"1.21"	"1.37"	"1.69"	"0.76"	"1.32"	"1.90"	"1.67"	"1.93"	"4.78"	"11.20"	"13.01"	"16.12"	"6.40"	"7.81"	"9.61"	"6.30"	"6.08"	""	"136"	"0"	"0"	"Green"	"740.398935550225"
"False"	"IsMasterProtein"	"LOC107378920"	"XP_015804883.1"	"37.1221044365921"	"190"	"235"	"185"	"1"	"5094"	"577.931"	"5.87"	"1.25"	"1.20"	"1.36"	"1.53"	"0.73"	"1.35"	"1.67"	"1.60"	"1.81"	"7.32"	"3.70"	"8.39"	"9.07"	"4.17"	"6.91"	"6.52"	"11.43"	"6.94"	""	"190"	"0"	"0"	"Green"	"673.942167310619"
"False"	"IsMasterProtein"	"LOC107387945"	"XP_015818714.1"	"62.4497991967871"	"79"	"213"	"76"	"1"	"996"	"109.057"	"5.3"	"2.64"	"0.63"	"2.48"	"2.03"	"1.27"	"1.33"	"0.79"	"0.66"	"1.50"	"12.49"	"10.86"	"16.06"	"15.25"	"9.09"	"8.77"	"9.22"	"12.68"	"11.44"	""	"79"	"0"	"0"	"Green"	"565.253782560798"
"False"	"IsMasterProtein"	"c3"	"XP_015824898.1"	"59.3008739076155"	"86"	"136"	"85"	"1"	"1602"	"179.627"	"6.05"	"1.42"	"0.95"	"2.05"	"1.93"	"0.82"	"1.33"	"1.86"	"1.16"	"2.00"	"8.60"	"9.72"	"16.01"	"17.99"	"10.05"	"12.30"	"16.02"	"12.78"	"9.81"	""	"86"	"0"	"0"	"Green"	"445.418967405099"
"False"	"IsMasterProtein"	"LOC107373441"	"XP_015797060.1"	"80.1414581066377"	"89"	"215"	"88"	"1"	"1838"	"195.394"	"7.8"	"1.11"	"1.23"	"1.59"	"1.74"	"0.89"	"1.53"	"1.71"	"1.65"	"1.77"	"2.26"	"13.83"	"12.79"	"13.74"	"8.77"	"7.90"	"12.02"	"7.03"	"6.87"	""	"89"	"0"	"0"	"Green"	"415.285137542623"
"False"	"IsMasterProtein"	"LOC107394916"	"XP_015829615.1"	"46.1235733963007"	"103"	"137"	"102"	"1"	"2541"	"271.231"	"6.05"	"1.08"	"1.00"	"1.22"	"1.47"	"0.87"	"1.41"	"1.56"	"1.43"	"1.79"	"6.54"	"4.41"	"8.75"	"6.55"	"9.80"	"11.30"	"14.11"	"6.33"	"7.44"	""	"103"	"0"	"0"	"Green"	"373.640802737377"
"False"	"IsMasterProtein"	"flnb"	"XP_015814162.1"	"41.0482019892884"	"84"	"103"	"84"	"1"	"2614"	"277.686"	"5.6"	"1.11"	"1.23"	"1.30"	"1.50"	"0.70"	"1.13"	"1.90"	"1.86"	"2.07"	"10.22"	"16.81"	"9.34"	"12.15"	"7.98"	"6.66"	"10.26"	"11.69"	"5.32"	""	"84"	"0"	"0"	"Green"	"363.756414422701"
"False"	"IsMasterProtein"	"LOC107391339"	"XP_015824097.1"	"54.8672566371681"	"56"	"236"	"56"	"1"	"565"	"58.342"	"5.57"	"1.38"	"1.23"	"1.35"	"1.52"	"0.76"	"1.16"	"1.81"	"1.80"	"2.18"	"14.81"	"10.48"	"5.58"	"7.68"	"5.11"	"7.57"	"11.23"	"10.64"	"16.10"	""	"56"	"0"	"0"	"Green"	"350.318199752686"
"False"	"IsMasterProtein"	"LOC107376217"	"XP_015800690.1"	"45.8205912334353"	"96"	"134"	"96"	"1"	"1962"	"227.063"	"5.49"	"1.18"	"1.33"	"1.58"	"1.69"	"0.74"	"1.18"	"1.57"	"1.35"	"1.87"	"8.03"	"9.47"	"15.06"	"13.98"	"9.78"	"7.51"	"6.54"	"7.59"	"2.48"	""	"96"	"0"	"0"	"Green"	"348.049051732053"
"False"	"IsMasterProtein"	"LOC107374251"	"XP_015797882.1"	"79.1284403669725"	"47"	"159"	"47"	"1"	"436"	"47.593"	"5.17"	"1.51"	"1.16"	"1.58"	"1.95"	"0.71"	"1.10"	"1.97"	"2.09"	"2.17"	"18.46"	"17.43"	"10.40"	"31.76"	"15.20"	"4.05"	"11.97"	"30.06"	"7.22"	""	"47"	"0"	"0"	"Green"	"338.216951870825"
"False"	"IsMasterProtein"	"atp5b"	"XP_015807912.1"	"77.4566473988439"	"30"	"82"	"30"	"1"	"519"	"55.298"	"5.22"	"1.48"	"0.83"	"1.66"	"1.80"	"0.95"	"1.64"	"1.61"	"1.42"	"1.80"	"11.03"	"5.47"	"10.36"	"11.62"	"9.25"	"9.39"	"12.86"	"2.53"	"9.79"	""	"30"	"0"	"0"	"Green"	"323.486465791084"
"False"	"IsMasterProtein"	"actn4"	"XP_015806728.1"	"60.3691639522258"	"53"	"91"	"53"	"1"	"921"	"105.156"	"5.12"	"1.17"	"1.22"	"1.29"	"1.33"	"0.86"	"1.40"	"1.70"	"1.46"	"1.93"	"11.64"	"9.48"	"15.58"	"15.37"	"15.69"	"14.80"	"5.31"	"5.16"	"6.75"	""	"53"	"0"	"0"	"Green"	"321.202743340709"
