"Checked"	"Master"	"Accession"	"Description"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Ratios: (126) / (131)"	"Ratios: (127_N) / (131)"	"Ratios: (127_C) / (131)"	"Ratios: (128_N) / (131)"	"Ratios: (128_C) / (131)"	"Ratios: (129_N) / (131)"	"Ratios: (129_C) / (131)"	"Ratios: (130_N) / (131)"	"Ratios: (130_C) / (131)"	"Ratio Standard Errors [%]: (126) / (131)"	"Ratio Standard Errors [%]: (127_N) / (131)"	"Ratio Standard Errors [%]: (127_C) / (131)"	"Ratio Standard Errors [%]: (128_N) / (131)"	"Ratio Standard Errors [%]: (128_C) / (131)"	"Ratio Standard Errors [%]: (129_N) / (131)"	"Ratio Standard Errors [%]: (129_C) / (131)"	"Ratio Standard Errors [%]: (130_N) / (131)"	"Ratio Standard Errors [%]: (130_C) / (131)"	"emPAI"	"# Peptides A2"	"# Cumulative Decoys A2"	"FDR A2"	"Confidence A2"	"|Log Prob| A2"
"False"	"IsMasterProtein"	"sptan1"	"XP_015798825.1"	"59.7418313836224"	"146"	"197"	"146"	"1"	"2479"	"284.895"	"5.29"	"1.32"	"0.86"	"1.05"	"1.18"	"0.84"	"1.40"	"1.51"	"1.76"	"1.81"	"2.97"	"9.44"	"4.96"	"0.87"	"1.56"	"6.48"	"4.61"	"6.06"	"5.05"	""	"146"	"0"	"0"	"Green"	"744.200225254975"
"False"	"IsMasterProtein"	"LOC107392087"	"XP_015825146.1"	"54.0059347181009"	"129"	"169"	"127"	"1"	"2359"	"273.576"	"5.53"	"1.41"	"0.84"	"1.15"	"1.08"	"0.87"	"1.36"	"1.46"	"1.76"	"1.89"	"13.55"	"8.24"	"17.99"	"7.82"	"18.03"	"10.39"	"5.99"	"7.19"	"4.73"	""	"129"	"0"	"0"	"Green"	"593.638303709548"
"False"	"IsMasterProtein"	"cltc"	"XP_015816180.1"	"58.9636688505063"	"102"	"179"	"101"	"1"	"1679"	"191.619"	"5.66"	"1.00"	"1.02"	"1.05"	"1.47"	"0.96"	"1.57"	"1.21"	"1.75"	"1.45"	"10.10"	"4.12"	"4.75"	"7.74"	"10.69"	"6.06"	"4.17"	"5.79"	"9.69"	""	"102"	"0"	"0"	"Green"	"537.71682550637"
"False"	"IsMasterProtein"	"stab2"	"XP_015818627.1"	"35.3455123113582"	"83"	"151"	"82"	"1"	"2518"	"271.097"	"6.68"	"0.86"	"0.92"	"1.03"	"1.71"	"1.13"	"2.59"	"1.32"	"1.55"	"1.17"	"10.86"	"6.29"	"3.32"	"5.69"	"7.51"	"4.53"	"6.20"	"23.28"	"4.58"	""	"83"	"0"	"0"	"Green"	"437.69895786402"
"False"	"IsMasterProtein"	"LOC107393303"	"XP_015827054.1"	"71.4452214452214"	"67"	"149"	"63"	"1"	"858"	"95.59"	"7.05"	"0.98"	"1.09"	"1.43"	"1.24"	"1.22"	"1.35"	"1.33"	"1.48"	"1.57"	"4.39"	"5.76"	"10.46"	"11.77"	"3.30"	"6.26"	"6.51"	"3.46"	"7.34"	""	"67"	"0"	"0"	"Green"	"418.060248756054"
"False"	"IsMasterProtein"	"atp5b"	"XP_015807912.1"	"79.383429672447"	"34"	"113"	"33"	"1"	"519"	"55.298"	"5.22"	"1.19"	"0.81"	"0.91"	"1.75"	"0.77"	"1.29"	"1.37"	"1.63"	"1.55"	"15.50"	"18.52"	"16.20"	"10.13"	"10.64"	"6.70"	"2.41"	"9.86"	"8.54"	""	"34"	"0"	"0"	"Green"	"391.716922110537"
"False"	"IsMasterProtein"	"esyt1"	"XP_015815114.1"	"47.6956055734191"	"79"	"114"	"78"	"1"	"1866"	"207.259"	"6.42"	"1.20"	"0.90"	"1.15"	"1.48"	"0.95"	"1.33"	"1.49"	"1.17"	"1.56"	"15.35"	"10.37"	"9.51"	"10.33"	"5.74"	"7.80"	"12.09"	"7.18"	"9.26"	""	"79"	"0"	"0"	"Green"	"386.774907102401"
"False"	"IsMasterProtein"	"dnajc13"	"XP_015810221.1"	"37.7533039647577"	"83"	"122"	"81"	"1"	"2270"	"256.376"	"6.83"	"0.64"	"0.85"	"0.79"	"1.37"	"1.29"	"1.67"	"1.74"	"1.53"	"1.61"	"4.14"	"7.60"	"5.44"	"9.51"	"10.72"	"3.62"	"3.19"	"10.41"	"4.26"	""	"83"	"0"	"0"	"Green"	"383.463399163032"
"False"	"IsMasterProtein"	"vwf"	"XP_015820051.1"	"29.5719844357977"	"79"	"103"	"78"	"1"	"2827"	"308.62"	"6.05"	"1.01"	"1.01"	"1.23"	"1.34"	"1.45"	"1.65"	"1.67"	"1.38"	"1.19"	"1.57"	"1.50"	"12.83"	"10.57"	"5.09"	"3.53"	"7.80"	"1.11"	"4.25"	""	"79"	"0"	"0"	"Green"	"376.573933237989"
"False"	"IsMasterProtein"	"K2C1_HUMAN"	"(Common contaminant protein)"	"70.2954898911353"	"60"	"156"	"60"	"1"	"643"	"65.847"	"8.12"	"1.88"	"0.88"	"0.88"	"1.33"	"1.01"	"0.95"	"0.93"	"3.14"	"1.10"	"36.19"	"10.59"	"33.12"	"19.76"	"18.02"	"18.52"	"25.65"	"24.16"	"7.66"	""	"60"	"0"	"0"	"Green"	"365.705636695637"
"False"	"IsMasterProtein"	"LOC107376217"	"XP_015800690.1"	"42.8644240570846"	"91"	"115"	"90"	"1"	"1962"	"227.063"	"5.49"	"0.91"	"0.75"	"1.07"	"1.29"	"0.81"	"1.14"	"1.62"	"1.99"	"1.80"	"8.36"	"11.84"	"7.03"	"3.31"	"10.21"	"8.76"	"2.21"	"10.59"	"12.63"	""	"91"	"0"	"0"	"Green"	"362.099846460214"
"False"	"IsMasterProtein"	"LOC107388592"	"XP_015819642.1"	"34.365889212828"	"81"	"96"	"81"	"1"	"2744"	"293.335"	"6.38"	"1.12"	"0.96"	"0.89"	"1.92"	"1.01"	"1.77"	"1.79"	"1.11"	"1.27"	"16.43"	"5.41"	"12.17"	"14.94"	"1.88"	"4.88"	"12.52"	"3.23"	"7.22"	""	"81"	"0"	"0"	"Green"	"351.712762395693"
"False"	"IsMasterProtein"	"K22E_HUMAN"	"(Common contaminant protein)"	"88.062015503876"	"53"	"98"	"53"	"1"	"645"	"65.825"	"8"	"1.66"	"0.70"	"0.93"	"1.43"	"0.81"	"1.03"	"0.94"	"2.94"	"0.90"	"6.83"	"4.00"	"18.69"	"6.71"	"24.56"	"3.40"	"8.79"	"4.11"	"12.77"	""	"53"	"0"	"0"	"Green"	"346.858120086107"
"False"	"IsMasterProtein"	"mvp"	"XP_015831781.1"	"72.4288840262582"	"57"	"92"	"57"	"1"	"914"	"102.013"	"5.47"	"1.21"	"0.88"	"1.45"	"2.06"	"1.17"	"1.52"	"0.83"	"1.07"	"1.19"	"8.95"	"9.94"	"11.58"	"4.72"	"10.91"	"12.99"	"7.72"	"9.17"	"9.01"	""	"57"	"0"	"0"	"Green"	"332.562453678237"
"False"	"IsMasterProtein"	"LOC107387751"	"XP_015818399.1"	"72.8782287822878"	"46"	"134"	"46"	"1"	"542"	"59.767"	"8.13"	"0.97"	"0.97"	"1.17"	"1.59"	"1.03"	"1.58"	"1.27"	"1.63"	"1.50"	"10.99"	"4.71"	"18.75"	"6.36"	"6.49"	"3.44"	"3.93"	"1.39"	"4.82"	""	"46"	"0"	"0"	"Green"	"320.026976315517"
"False"	"IsMasterProtein"	"stab1"	"XP_015809365.1"	"31.741018555073"	"73"	"97"	"72"	"1"	"2533"	"275.943"	"6.89"	"0.80"	"1.19"	"0.88"	"1.94"	"1.38"	"2.24"	"1.33"	"1.60"	"1.44"	"16.87"	"22.50"	"13.83"	"31.26"	"11.50"	"20.05"	"9.60"	"22.84"	"12.46"	""	"73"	"0"	"0"	"Green"	"311.323256035049"
"False"	"IsMasterProtein"	"LOC107384188"	"XP_015812769.1"	"44.020618556701"	"88"	"115"	"87"	"1"	"1940"	"223.711"	"5.71"	"0.93"	"0.70"	"0.99"	"1.53"	"0.88"	"1.10"	"1.71"	"1.66"	"1.93"	"9.14"	"7.14"	"2.53"	"8.34"	"1.66"	"3.34"	"6.86"	"7.62"	"2.73"	""	"88"	"0"	"0"	"Green"	"311.028203732001"
"False"	"IsMasterProtein"	"hadha"	"XP_015825063.1"	"63.9580602883355"	"57"	"91"	"56"	"1"	"763"	"82.566"	"8.73"	"1.06"	"0.79"	"1.02"	"1.61"	"0.82"	"1.80"	"1.38"	"1.41"	"1.49"	"10.32"	"16.56"	"4.39"	"8.05"	"8.83"	"14.26"	"5.37"	"5.77"	"12.05"	""	"57"	"0"	"0"	"Green"	"310.566362675172"
