"Checked"	"Master"	"Accession"	"Description"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Ratios: (126) / (131)"	"Ratios: (127_N) / (131)"	"Ratios: (127_C) / (131)"	"Ratios: (128_N) / (131)"	"Ratios: (128_C) / (131)"	"Ratios: (129_N) / (131)"	"Ratios: (129_C) / (131)"	"Ratios: (130_N) / (131)"	"Ratios: (130_C) / (131)"	"Ratio Standard Errors [%]: (126) / (131)"	"Ratio Standard Errors [%]: (127_N) / (131)"	"Ratio Standard Errors [%]: (127_C) / (131)"	"Ratio Standard Errors [%]: (128_N) / (131)"	"Ratio Standard Errors [%]: (128_C) / (131)"	"Ratio Standard Errors [%]: (129_N) / (131)"	"Ratio Standard Errors [%]: (129_C) / (131)"	"Ratio Standard Errors [%]: (130_N) / (131)"	"Ratio Standard Errors [%]: (130_C) / (131)"	"emPAI"	"# Peptides A2"	"# Cumulative Decoys A2"	"FDR A2"	"Confidence A2"	"|Log Prob| A2"
"False"	"IsMasterProtein"	"LOC107379827"	"XP_015806254.1"	"51.5336217066457"	"246"	"623"	"243"	"1"	"5086"	"576.404"	"5.15"	"0.98"	"0.94"	"1.20"	"1.25"	"0.92"	"1.59"	"1.33"	"1.17"	"1.17"	"4.62"	"5.80"	"9.57"	"4.68"	"5.36"	"5.98"	"7.34"	"6.20"	"3.37"	""	"246"	"0"	"0"	"Green"	"1352.09628450971"
"False"	"IsMasterProtein"	"LOC107387945"	"XP_015818714.1"	"65.3614457831325"	"105"	"1158"	"101"	"1"	"996"	"109.057"	"5.3"	"0.92"	"0.95"	"1.26"	"1.20"	"0.86"	"1.48"	"1.29"	"1.16"	"1.23"	"3.82"	"5.38"	"4.81"	"4.75"	"4.27"	"3.74"	"3.09"	"2.38"	"2.09"	""	"105"	"0"	"0"	"Green"	"899.584249502264"
"False"	"IsMasterProtein"	"LOC107381855"	"XP_015809259.1"	"85.5021216407355"	"121"	"426"	"118"	"1"	"1414"	"156.769"	"6.96"	"1.02"	"1.07"	"1.38"	"0.88"	"0.91"	"1.42"	"1.46"	"1.36"	"1.05"	"12.05"	"12.37"	"12.73"	"3.43"	"2.81"	"8.76"	"7.92"	"4.82"	"4.36"	""	"121"	"0"	"0"	"Green"	"800.570768650174"
"False"	"IsMasterProtein"	"LOC107377812"	"XP_015803164.1"	"45.8174421561149"	"167"	"346"	"164"	"1"	"3933"	"442.51"	"6.11"	"1.00"	"0.75"	"1.10"	"1.17"	"0.86"	"1.84"	"1.51"	"1.41"	"0.95"	"8.26"	"11.56"	"7.27"	"7.23"	"3.36"	"6.78"	"6.64"	"5.70"	"4.24"	""	"167"	"0"	"0"	"Green"	"786.35408831034"
"False"	"IsMasterProtein"	"myom1"	"XP_015810166.1"	"64.6813579511614"	"124"	"367"	"123"	"1"	"1679"	"186.461"	"5.96"	"1.01"	"1.06"	"1.38"	"1.16"	"0.84"	"1.48"	"1.43"	"1.28"	"1.26"	"7.84"	"8.62"	"9.00"	"5.24"	"5.70"	"4.99"	"3.71"	"3.73"	"5.51"	""	"124"	"0"	"0"	"Green"	"725.009048107947"
"False"	"IsMasterProtein"	"LOC107377658"	"XP_015802906.1"	"41.6842661034847"	"150"	"315"	"146"	"1"	"3788"	"423.615"	"5.41"	"1.12"	"0.64"	"1.21"	"1.55"	"1.09"	"1.55"	"1.00"	"0.71"	"1.60"	"7.50"	"3.89"	"9.61"	"5.80"	"5.82"	"4.96"	"5.84"	"6.27"	"4.88"	""	"150"	"0"	"0"	"Green"	"697.62754256753"
"False"	"IsMasterProtein"	"LOC107382447"	"XP_015810064.1"	"78.8291900561347"	"109"	"400"	"108"	"1"	"1247"	"136.7"	"7.33"	"1.03"	"1.05"	"1.31"	"0.95"	"0.91"	"1.42"	"1.44"	"1.34"	"1.18"	"5.73"	"5.83"	"8.92"	"5.14"	"7.92"	"8.18"	"7.69"	"6.20"	"5.80"	""	"109"	"0"	"0"	"Green"	"695.404417003948"
"False"	"IsMasterProtein"	"LOC107386385"	"XP_015816230.1"	"86.9358669833729"	"115"	"501"	"114"	"1"	"842"	"97.144"	"6.99"	"1.02"	"0.92"	"1.37"	"1.40"	"0.81"	"1.41"	"1.43"	"1.14"	"1.30"	"4.25"	"7.03"	"11.93"	"3.97"	"7.02"	"7.59"	"7.23"	"5.17"	"3.43"	""	"115"	"0"	"0"	"Green"	"631.178984614504"
"False"	"IsMasterProtein"	"ckm"	"XP_015806184.1"	"96.8421052631579"	"61"	"1084"	"61"	"1"	"380"	"42.708"	"6.58"	"0.91"	"0.97"	"1.15"	"1.17"	"0.96"	"1.43"	"1.31"	"1.16"	"1.05"	"3.62"	"3.00"	"4.14"	"5.69"	"2.85"	"2.76"	"5.81"	"4.27"	"3.65"	""	"61"	"0"	"0"	"Green"	"516.552482551562"
"False"	"IsMasterProtein"	"c3"	"XP_015824898.1"	"57.6154806491885"	"89"	"200"	"87"	"1"	"1602"	"179.627"	"6.05"	"1.03"	"0.96"	"1.86"	"1.07"	"0.91"	"1.20"	"1.60"	"0.85"	"1.34"	"16.33"	"6.65"	"13.60"	"5.87"	"8.63"	"7.97"	"20.11"	"7.80"	"22.06"	""	"89"	"0"	"0"	"Green"	"482.665231689387"
