logFC,AveExpr,t,P.Value,adj.P.Val,B,description,short.name,sub.cell,GO,GO.ID,gene.name,ID,Complex
3.71745781,27.54353736,15.9360303,1.27E-06,0.001224903,5.975472781,Myelin-associated oligodendrocyte basic protein,MOBP_MOUSE,SUBCELLULAR LOCATION: Cytoplasm. perinuclear region. Note=Present in the major dense line of CNS myelin. {ECO:0000250}.,cortical actin cytoskeleton [GO:0030864]; mitochondrion [GO:0005739]; myelin sheath [GO:0043209]; perinuclear region of cytoplasm [GO:0048471]; actin binding [GO:0003779]; myosin binding [GO:0017022]; Rab GTPase binding [GO:0017137]; structural constituent of myelin sheath [GO:0019911]; vesicle transport along actin filament [GO:0030050],GO:0003779; GO:0005739; GO:0017022; GO:0017137; GO:0019911; GO:0030050; GO:0030864; GO:0043209; GO:0048471,Mobp,Q9D2P8,NA
8.940700356,23.12578897,11.6488111,9.93E-06,0.003429518,4.210068607,Collagen alpha-2(IV) chain [Cleaved into: Canstatin],CO4A2_MOUSE,SUBCELLULAR LOCATION: Secreted. extracellular space. extracellular matrix. basement membrane {ECO:0000255|PROSITE-ProRule:PRU00736}.,basement membrane [GO:0005604]; collagen type IV trimer [GO:0005587]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; extracellular matrix structural constituent [GO:0005201]; aging [GO:0007568]; angiogenesis [GO:0001525]; cellular response to transforming growth factor beta stimulus [GO:0071560]; collagen-activated tyrosine kinase receptor signaling pathway [GO:0038063]; endodermal cell differentiation [GO:0035987]; negative regulation of angiogenesis [GO:0016525]; response to activity [GO:0014823]; transcription. DNA-templated [GO:0006351],GO:0001525; GO:0005201; GO:0005576; GO:0005587; GO:0005604; GO:0005615; GO:0006351; GO:0007568; GO:0014823; GO:0016525; GO:0031012; GO:0035987; GO:0038063; GO:0071560,Col4a2,P08122,NA
5.946690267,28.71029927,11.52034352,1.07E-05,0.003429518,4.143882416,Ferritin heavy chain (Ferritin H subunit) (EC 1.16.3.1) [Cleaved into: Ferritin heavy chain. N-terminally processed],FRIH_MOUSE,,autolysosome [GO:0044754]; endocytic vesicle lumen [GO:0071682]; extracellular region [GO:0005576]; mitochondrion [GO:0005739]; ferric iron binding [GO:0008199]; ferroxidase activity [GO:0004322]; iron ion binding [GO:0005506]; immune response [GO:0006955]; intracellular sequestering of iron ion [GO:0006880]; iron ion import [GO:0097286]; negative regulation of cell proliferation [GO:0008285]; negative regulation of fibroblast proliferation [GO:0048147],GO:0004322; GO:0005506; GO:0005576; GO:0005739; GO:0006880; GO:0006955; GO:0008199; GO:0008285; GO:0044754; GO:0048147; GO:0071682; GO:0097286,Fth1,P09528,NA
7.751713123,22.55704211,10.7113645,1.71E-05,0.004117761,3.704704818,Basement membrane-specific heparan sulfate proteoglycan core protein (HSPG) [Cleaved into: Endorepellin; LG3 peptide],PGBM_MOUSE,SUBCELLULAR LOCATION: Secreted. extracellular space. extracellular matrix. basement membrane.,basal lamina [GO:0005605]; basement membrane [GO:0005604]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi lumen [GO:0005796]; calcium ion binding [GO:0005509]; protease binding [GO:0002020]; protein C-terminus binding [GO:0008022]; angiogenesis [GO:0001525]; brain development [GO:0007420]; cardiac muscle tissue development [GO:0048738]; cartilage development involved in endochondral bone morphogenesis [GO:0060351]; chondrocyte differentiation [GO:0002062]; embryonic skeletal system morphogenesis [GO:0048704]; endochondral ossification [GO:0001958]; extracellular matrix organization [GO:0030198]; protein localization [GO:0008104]; receptor-mediated endocytosis [GO:0006898],GO:0001525; GO:0001958; GO:0002020; GO:0002062; GO:0005509; GO:0005576; GO:0005604; GO:0005605; GO:0005615; GO:0005796; GO:0006898; GO:0007420; GO:0008022; GO:0008104; GO:0030198; GO:0031012; GO:0048704; GO:0048738; GO:0060351,Hspg2,Q05793,NA
6.51851939,27.29712546,9.348911836,4.08E-05,0.007257535,2.867031387,Ferritin light chain 1 (Ferritin L subunit 1);Ferritin light chain 2 (Ferritin L subunit 2) (Ferritin subunit LG),FRIL1_MOUSE;FRIL2_MOUSE,;,autolysosome [GO:0044754]; cytoplasm [GO:0005737]; endocytic vesicle lumen [GO:0071682]; extracellular region [GO:0005576]; intracellular ferritin complex [GO:0008043]; ferric iron binding [GO:0008199]; identical protein binding [GO:0042802]; iron ion binding [GO:0005506]; intracellular sequestering of iron ion [GO:0006880]; iron ion transport [GO:0006826];cytoplasm [GO:0005737]; intracellular ferritin complex [GO:0008043]; ferric iron binding [GO:0008199]; iron ion binding [GO:0005506]; intracellular sequestering of iron ion [GO:0006880]; iron ion transport [GO:0006826],GO:0005506; GO:0005576; GO:0005737; GO:0006826; GO:0006880; GO:0008043; GO:0008199; GO:0042802; GO:0044754; GO:0071682;GO:0005506; GO:0005737; GO:0006826; GO:0006880; GO:0008043; GO:0008199,Ftl1;Ftl2,P29391,NA
3.065834705,26.08997542,8.981944334,5.25E-05,0.007257535,2.617505439,60S ribosomal protein L35,RL35_MOUSE,,cytosolic large ribosomal subunit [GO:0022625]; mRNA binding [GO:0003729]; ribonucleoprotein complex binding [GO:0043021]; structural constituent of ribosome [GO:0003735]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA. 5.8S rRNA. LSU-rRNA) [GO:0000463]; translation [GO:0006412],GO:0000463; GO:0003729; GO:0003735; GO:0006412; GO:0022625; GO:0043021,Rpl35,Q6ZWV7,cytoplasmic ribosomal large subunit
2.048530369,25.19875941,8.977547065,5.27E-05,0.007257535,2.614448221,60S ribosomal protein L7a (Surfeit locus protein 3),RL7A_MOUSE,,cytosolic large ribosomal subunit [GO:0022625]; membrane [GO:0016020]; polysomal ribosome [GO:0042788]; ribosome [GO:0005840]; cadherin binding [GO:0045296]; RNA binding [GO:0003723]; maturation of LSU-rRNA [GO:0000470]; translation [GO:0006412],GO:0000470; GO:0003723; GO:0005840; GO:0006412; GO:0016020; GO:0022625; GO:0042788; GO:0045296,Rpl7a,P12970,Yph1-L
9.295954185,22.86466265,7.650876267,0.00014281,0.008676812,1.61237306,Collagen alpha-2(I) chain (Alpha-2 type I collagen),CO1A2_MOUSE,SUBCELLULAR LOCATION: Secreted. extracellular space. extracellular matrix {ECO:0000255|PROSITE-ProRule:PRU00793}.,collagen trimer [GO:0005581]; collagen type I trimer [GO:0005584]; endoplasmic reticulum [GO:0005783]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; extracellular matrix structural constituent [GO:0005201]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; platelet-derived growth factor binding [GO:0048407]; protease binding [GO:0002020]; protein binding. bridging [GO:0030674]; SMAD binding [GO:0046332]; blood vessel development [GO:0001568]; cellular response to amino acid stimulus [GO:0071230]; collagen fibril organization [GO:0030199]; protein heterotrimerization [GO:0070208]; regulation of blood pressure [GO:0008217]; Rho protein signal transduction [GO:0007266]; skeletal system development [GO:0001501]; skin morphogenesis [GO:0043589]; transforming growth factor beta receptor signaling pathway [GO:0007179],GO:0001501; GO:0001568; GO:0002020; GO:0005201; GO:0005576; GO:0005581; GO:0005584; GO:0005615; GO:0005783; GO:0007179; GO:0007266; GO:0008217; GO:0030199; GO:0030674; GO:0031012; GO:0042802; GO:0043589; GO:0046332; GO:0046872; GO:0048407; GO:0070208; GO:0071230,Col1a2,Q01149,NA
8.467369086,24.38931691,7.702770805,0.000136989,0.008676812,1.654770195,Collagen alpha-1(I) chain (Alpha-1 type I collagen),CO1A1_MOUSE,SUBCELLULAR LOCATION: Secreted. extracellular space. extracellular matrix {ECO:0000255|PROSITE-ProRule:PRU00793}.,collagen trimer [GO:0005581]; collagen type I trimer [GO:0005584]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; secretory granule [GO:0030141]; extracellular matrix structural constituent [GO:0005201]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; platelet-derived growth factor binding [GO:0048407]; protease binding [GO:0002020]; blood vessel development [GO:0001568]; bone trabecula formation [GO:0060346]; cartilage development involved in endochondral bone morphogenesis [GO:0060351]; cellular response to amino acid stimulus [GO:0071230]; cellular response to epidermal growth factor stimulus [GO:0071364]; cellular response to fibroblast growth factor stimulus [GO:0044344]; cellular response to fluoride [GO:1902618]; cellular response to mechanical stimulus [GO:0071260]; cellular response to retinoic acid [GO:0071300]; cellular response to transforming growth factor beta stimulus [GO:0071560]; cellular response to tumor necrosis factor [GO:0071356]; cellular response to vitamin E [GO:0071306]; collagen biosynthetic process [GO:0032964]; collagen fibril organization [GO:0030199]; collagen-activated tyrosine kinase receptor signaling pathway [GO:0038063]; embryonic skeletal system development [GO:0048706]; endochondral ossification [GO:0001958]; face morphogenesis [GO:0060325]; intramembranous ossification [GO:0001957]; negative regulation of cell-substrate adhesion [GO:0010812]; osteoblast differentiation [GO:0001649]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of cell migration [GO:0030335]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of transcription. DNA-templated [GO:0045893]; protein heterotrimerization [GO:0070208]; protein localization to nucleus [GO:0034504]; protein transport [GO:0015031]; response to cAMP [GO:0051591]; response to corticosteroid [GO:0031960]; response to estradiol [GO:0032355]; response to hydrogen peroxide [GO:0042542]; response to hyperoxia [GO:0055093]; response to peptide hormone [GO:0043434]; sensory perception of sound [GO:0007605]; skeletal system development [GO:0001501]; skeletal system morphogenesis [GO:0048705]; skin development [GO:0043588]; skin morphogenesis [GO:0043589]; tooth eruption [GO:0044691]; tooth mineralization [GO:0034505]; visual perception [GO:0007601]; wound healing [GO:0042060],GO:0001501; GO:0001568; GO:0001649; GO:0001957; GO:0001958; GO:0002020; GO:0005201; GO:0005576; GO:0005581; GO:0005584; GO:0005615; GO:0005737; GO:0005783; GO:0005794; GO:0007601; GO:0007605; GO:0010718; GO:0010812; GO:0015031; GO:0030141; GO:0030199; GO:0030335; GO:0031012; GO:0031960; GO:0032355; GO:0032964; GO:0034504; GO:0034505; GO:0038063; GO:0042060; GO:0042542; GO:0042802; GO:0043434; GO:0043588; GO:0043589; GO:0044344; GO:0044691; GO:0045893; GO:0046872; GO:0048407; GO:0048705; GO:0048706; GO:0051591; GO:0055093; GO:0060325; GO:0060346; GO:0060351; GO:0070208; GO:0071230; GO:0071260; GO:0071300; GO:0071306; GO:0071356; GO:0071364; GO:0071560; GO:0090263; GO:1902618,Col1a1,P11087,NA
6.731647224,21.99839881,8.398777333,8.01E-05,0.008676812,2.197439972,Nidogen-1 (NID-1) (Entactin),NID1_MOUSE,SUBCELLULAR LOCATION: Secreted. extracellular space. extracellular matrix. basement membrane.,basal lamina [GO:0005605]; basement membrane [GO:0005604]; cell periphery [GO:0071944]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; calcium ion binding [GO:0005509]; collagen binding [GO:0005518]; extracellular matrix binding [GO:0050840]; laminin binding [GO:0043236]; laminin-1 binding [GO:0043237]; proteoglycan binding [GO:0043394]; cell-matrix adhesion [GO:0007160]; extracellular matrix organization [GO:0030198]; glomerular basement membrane development [GO:0032836]; positive regulation of cell-substrate adhesion [GO:0010811],GO:0005509; GO:0005518; GO:0005576; GO:0005604; GO:0005605; GO:0005615; GO:0007160; GO:0010811; GO:0030198; GO:0031012; GO:0032836; GO:0043236; GO:0043237; GO:0043394; GO:0050840; GO:0071944,Nid1,P10493,NA
