From	To
A0A024R161	ENSP00000363412
A0A024RBG1	ENSP00000492425
A0A075B6H9	ENSP00000374817
A0A075B6I0	ENSP00000374818
A0A075B6I1	ENSP00000374819
A0A075B6I4	ENSP00000374822
A0A075B6I9	ENSP00000374830
A0A075B6J1	ENSP00000374835
A0A075B6J1	ENSP00000487591
A0A075B6J6	ENSP00000374842
A0A075B6J9	ENSP00000374845
A0A075B6K0	ENSP00000374846
A0A075B6K2	ENSP00000374848
A0A075B6K4	ENSP00000374850
A0A075B6K5	ENSP00000374851
A0A075B6K6	ENSP00000374853
A0A075B6N1	ENSP00000374916
A0A075B6N2	ENSP00000374917
A0A075B6N3	ENSP00000374920
A0A075B6N4	ENSP00000374921
A0A075B6P5	ENSP00000419353
A0A075B6P5	ENSP00000487690
A0A075B6R0	ENSP00000404928
A0A075B6S0	ENSP00000420798
A0A075B6S2	ENSP00000417637
A0A075B6S4	ENSP00000418292
A0A075B6S5	ENSP00000418903
A0A075B6S5	ENSP00000488456
A0A075B6S6	ENSP00000418948
A0A075B6T6	ENSP00000437362
A0A075B6T7	ENSP00000438290
A0A075B6T8	ENSP00000438446
A0A075B6U4	ENSP00000443297
A0A075B6V5	ENSP00000450804
A0A075B6W5	ENSP00000451203
A0A075B6X5	ENSP00000451574
A0A075B6Y3	ENSP00000451699
A0A075B706	ENSP00000452345
A0A075B734	ENSP00000456868
A0A075B759	ENSP00000463419
A0A087WSX0	ENSP00000374831
A0A087WSY6	ENSP00000403672
A0A087WSZ0	ENSP00000420285
A0A087WSZ3	ENSP00000424734
A0A087WSZ9	ENSP00000451308
A0A087WT01	ENSP00000451735
A0A087WT02	ENSP00000452011
A0A087WT03	ENSP00000452431
A0A087WTH1	ENSP00000477871
A0A087WTH5	ENSP00000477875
A0A087WTH5	ENSP00000485125
A0A087WTJ2	ENSP00000477920
A0A087WUJ7	ENSP00000478716
A0A087WUL8	ENSP00000478752
A0A087WUM0	ENSP00000478757
A0A087WUU8	ENSP00000478939
A0A087WUV0	ENSP00000478941
A0A087WV62	ENSP00000479210
A0A087WV62	ENSP00000487913
A0A087WVF3	ENSP00000478426
A0A087WW87	ENSP00000480029
A0A087WWV3	ENSP00000480527
A0A087WXM9	ENSP00000488568
A0A087WXS9	ENSP00000478802
A0A087WXS9	ENSP00000478225
A0A087WXS9	ENSP00000481258
A0A087WYN8	ENSP00000481965
A0A087WZ62	ENSP00000482396
A0A087WZ82	ENSP00000482442
A0A087WZG4	ENSP00000482647
A0A087WZV9	ENSP00000482916
A0A087X002	ENSP00000483006
A0A087X0B3	ENSP00000483243
A0A087X0M5	ENSP00000483504
A0A087X0R7	ENSP00000483614
A0A087X179	ENSP00000483965
A0A087X1B8	ENSP00000484042
A0A087X1C1	ENSP00000484052
A0A087X1C5	ENSP00000484065
A0A087X1G2	ENSP00000484181
A0A087X1K6	ENSP00000481494
A0A087X1L8	ENSP00000484302
A0A088AWK7	ENSP00000457704
A0A096LNP1	ENSP00000485141
A0A096LP01	ENSP00000485316
A0A096LP49	ENSP00000456543
A0A096LP49	ENSP00000485393
A0A096LPE2	ENSP00000485552
A0A096LPH7	ENSP00000485615
A0A096LPK6	ENSP00000485664
A0A096LPK9	ENSP00000485668
A0A096LPK9	ENSP00000495705
A0A0A0MRY4	ENSP00000371576
A0A0A0MRZ7	ENSP00000374803
A0A0A0MRZ8	ENSP00000374812
A0A0A0MRZ9	ENSP00000374824
A0A0A0MSL8	ENSP00000395880
A0A0A0MT36	ENSP00000413304
