"Checked"	"Master"	"Accession"	"Description"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Ratios: (126) / (131)"	"Ratios: (127_N) / (131)"	"Ratios: (127_C) / (131)"	"Ratios: (128_N) / (131)"	"Ratios: (128_C) / (131)"	"Ratios: (129_N) / (131)"	"Ratios: (129_C) / (131)"	"Ratios: (130_N) / (131)"	"Ratios: (130_C) / (131)"	"Ratio Standard Errors [%]: (126) / (131)"	"Ratio Standard Errors [%]: (127_N) / (131)"	"Ratio Standard Errors [%]: (127_C) / (131)"	"Ratio Standard Errors [%]: (128_N) / (131)"	"Ratio Standard Errors [%]: (128_C) / (131)"	"Ratio Standard Errors [%]: (129_N) / (131)"	"Ratio Standard Errors [%]: (129_C) / (131)"	"Ratio Standard Errors [%]: (130_N) / (131)"	"Ratio Standard Errors [%]: (130_C) / (131)"	"emPAI"	"# Peptides A2"	"# Cumulative Decoys A2"	"FDR A2"	"Confidence A2"	"|Log Prob| A2"
"False"	"IsMasterProtein"	"LOC107378920"	"XP_015804883.1"	"56.8119356105222"	"318"	"395"	"310"	"1"	"5094"	"577.931"	"5.87"	"0.69"	"0.38"	"1.20"	"1.03"	"0.58"	"0.72"	"1.03"	"1.07"	"1.40"	"5.35"	"4.89"	"4.99"	"2.42"	"5.48"	"3.45"	"5.82"	"7.02"	"2.49"	""	"318"	"0"	"0"	"Green"	"1273.90701336198"
"False"	"IsMasterProtein"	"LOC107391531"	"XP_015824350.1"	"55.9182068423122"	"122"	"176"	"121"	"1"	"2543"	"270.967"	"5.71"	"0.82"	"0.41"	"1.18"	"1.38"	"0.63"	"0.94"	"0.99"	"0.87"	"1.01"	"4.85"	"7.34"	"1.48"	"7.50"	"8.82"	"5.55"	"5.37"	"1.85"	"8.88"	""	"122"	"0"	"0"	"Green"	"673.843093947395"
"False"	"IsMasterProtein"	"LOC107373441"	"XP_015797060.1"	"88.6289445048966"	"109"	"349"	"107"	"1"	"1838"	"195.394"	"7.8"	"0.63"	"0.38"	"1.02"	"1.04"	"0.56"	"0.68"	"1.06"	"1.22"	"1.43"	"16.45"	"10.64"	"3.48"	"2.48"	"3.78"	"4.75"	"7.47"	"4.73"	"3.81"	""	"109"	"0"	"0"	"Green"	"660.524323853342"
"False"	"IsMasterProtein"	"LOC107382264"	"XP_015809831.1"	"56.1734693877551"	"126"	"171"	"126"	"1"	"1960"	"226.4"	"5.64"	"0.59"	"0.54"	"0.74"	"0.95"	"0.37"	"0.45"	"1.46"	"1.37"	"1.59"	"12.31"	"5.71"	"8.56"	"6.90"	"22.66"	"4.65"	"7.93"	"9.79"	"3.95"	""	"126"	"0"	"0"	"Green"	"610.505604325546"
"False"	"IsMasterProtein"	"col6a3"	"XP_015798185.1"	"38.5267034990792"	"99"	"117"	"98"	"1"	"2715"	"294.544"	"6.57"	"0.55"	"0.66"	"0.92"	"0.90"	"0.60"	"0.85"	"1.24"	"1.15"	"0.99"	"25.74"	"7.18"	"8.16"	"8.37"	"8.67"	"9.12"	"4.02"	"3.00"	"1.75"	""	"99"	"0"	"0"	"Green"	"534.831952757973"
"False"	"IsMasterProtein"	"LOC107387945"	"XP_015818714.1"	"55.0200803212851"	"65"	"151"	"62"	"1"	"996"	"109.057"	"5.3"	"1.81"	"0.19"	"1.81"	"1.53"	"0.97"	"0.79"	"0.31"	"0.23"	"0.50"	"6.28"	"9.22"	"5.91"	"10.25"	"5.28"	"1.49"	"15.08"	"9.01"	"11.38"	""	"65"	"0"	"0"	"Green"	"488.186654837318"
"False"	"IsMasterProtein"	"LOC107376217"	"XP_015800690.1"	"46.1264016309888"	"97"	"130"	"96"	"1"	"1962"	"227.063"	"5.49"	"0.48"	"0.45"	"0.79"	"0.88"	"0.39"	"0.58"	"1.51"	"1.32"	"1.72"	"10.80"	"11.85"	"10.24"	"9.31"	"15.93"	"6.86"	"11.88"	"7.73"	"9.22"	""	"97"	"0"	"0"	"Green"	"430.089783872793"
"False"	"IsMasterProtein"	"LOC107393303"	"XP_015827054.1"	"75.7575757575758"	"70"	"149"	"66"	"1"	"858"	"95.59"	"7.05"	"0.67"	"0.30"	"1.18"	"1.34"	"1.14"	"0.91"	"0.71"	"0.53"	"1.27"	"1.69"	"10.05"	"7.45"	"5.98"	"5.79"	"6.84"	"9.11"	"11.88"	"14.60"	""	"70"	"0"	"0"	"Green"	"397.94136160663"
"False"	"IsMasterProtein"	"plec"	"XP_015829674.1"	"28.2793475763841"	"131"	"149"	"130"	"1"	"4353"	"494.594"	"6.37"	"0.71"	"0.44"	"1.08"	"1.02"	"0.58"	"0.84"	"1.05"	"1.24"	"1.26"	"7.15"	"9.77"	"9.25"	"3.86"	"12.74"	"3.17"	"3.91"	"4.66"	"6.03"	""	"131"	"0"	"0"	"Green"	"377.234806842507"
"False"	"IsMasterProtein"	"LOC107378336"	"XP_015803965.1"	"39.7429305912596"	"86"	"110"	"82"	"1"	"1945"	"222.461"	"5.78"	"0.91"	"0.38"	"0.97"	"0.82"	"0.78"	"0.85"	"1.15"	"1.00"	"1.56"	"13.51"	"14.98"	"5.65"	"16.81"	"6.53"	"8.05"	"7.84"	"20.62"	"6.62"	""	"86"	"0"	"0"	"Green"	"344.634590959276"
