"Checked"	"Master"	"Accession"	"Description"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Ratios: (126) / (131)"	"Ratios: (127_N) / (131)"	"Ratios: (127_C) / (131)"	"Ratios: (128_N) / (131)"	"Ratios: (128_C) / (131)"	"Ratios: (129_N) / (131)"	"Ratios: (129_C) / (131)"	"Ratios: (130_N) / (131)"	"Ratios: (130_C) / (131)"	"Ratio Standard Errors [%]: (126) / (131)"	"Ratio Standard Errors [%]: (127_N) / (131)"	"Ratio Standard Errors [%]: (127_C) / (131)"	"Ratio Standard Errors [%]: (128_N) / (131)"	"Ratio Standard Errors [%]: (128_C) / (131)"	"Ratio Standard Errors [%]: (129_N) / (131)"	"Ratio Standard Errors [%]: (129_C) / (131)"	"Ratio Standard Errors [%]: (130_N) / (131)"	"Ratio Standard Errors [%]: (130_C) / (131)"	"emPAI"	"# Peptides A2"	"# Cumulative Decoys A2"	"FDR A2"	"Confidence A2"	"|Log Prob| A2"
"False"	"IsMasterProtein"	"myh11"	"XP_015826303.1"	"57.9878665318504"	"127"	"170"	"126"	"1"	"1978"	"227.846"	"5.48"	"1.43"	"0.76"	"0.99"	"2.08"	"1.73"	"0.95"	"1.00"	"1.10"	"0.76"	"14.27"	"15.84"	"8.38"	"9.79"	"10.65"	"9.13"	"5.95"	"4.32"	"10.37"	""	"127"	"0"	"0"	"Green"	"558.602788682002"
"False"	"IsMasterProtein"	"LOC107391531"	"XP_015824350.1"	"48.6433346441211"	"113"	"160"	"112"	"1"	"2543"	"270.967"	"5.71"	"0.93"	"0.88"	"0.66"	"0.46"	"1.14"	"1.03"	"1.99"	"1.67"	"1.44"	"10.51"	"11.56"	"6.36"	"8.79"	"9.62"	"2.68"	"5.69"	"10.86"	"4.95"	""	"113"	"0"	"0"	"Green"	"469.707880043902"
"False"	"IsMasterProtein"	"LOC107376217"	"XP_015800690.1"	"47.2477064220183"	"98"	"116"	"98"	"1"	"1962"	"227.063"	"5.49"	"1.28"	"0.76"	"0.80"	"1.37"	"1.65"	"0.89"	"1.03"	"1.42"	"0.83"	"19.39"	"12.29"	"8.96"	"6.35"	"6.87"	"7.07"	"3.76"	"5.50"	"1.36"	""	"98"	"0"	"0"	"Green"	"425.46451138732"
"False"	"IsMasterProtein"	"mvp"	"XP_015831781.1"	"75.27352297593"	"67"	"166"	"67"	"1"	"914"	"102.013"	"5.47"	"1.14"	"0.62"	"0.76"	"1.26"	"0.99"	"0.47"	"1.81"	"1.98"	"0.92"	"3.32"	"2.01"	"5.52"	"4.68"	"4.62"	"5.80"	"4.50"	"1.76"	"3.92"	""	"67"	"0"	"0"	"Green"	"424.166386040541"
"False"	"IsMasterProtein"	"LOC107393303"	"XP_015827054.1"	"68.7645687645688"	"67"	"146"	"63"	"1"	"858"	"95.59"	"7.05"	"0.67"	"0.72"	"0.79"	"0.73"	"0.71"	"0.93"	"2.54"	"2.15"	"1.54"	"16.56"	"16.84"	"14.38"	"13.99"	"15.83"	"25.39"	"1.69"	"18.86"	"2.37"	""	"67"	"0"	"0"	"Green"	"330.945375500366"
"False"	"IsMasterProtein"	"tep1"	"XP_015811615.1"	"33.0268199233716"	"87"	"109"	"87"	"1"	"2610"	"291.442"	"6.87"	"1.07"	"0.73"	"0.70"	"1.42"	"1.17"	"0.56"	"1.89"	"1.98"	"0.97"	"10.01"	"10.60"	"9.47"	"8.09"	"12.38"	"16.17"	"6.73"	"6.64"	"5.47"	""	"87"	"0"	"0"	"Green"	"329.390951879012"
"False"	"IsMasterProtein"	"cubn"	"XP_015810319.1"	"18.0436584691904"	"50"	"61"	"49"	"1"	"3619"	"391.067"	"5.08"	"0.67"	"0.75"	"0.53"	"1.67"	"1.59"	"1.38"	"0.45"	"2.67"	"0.43"	"24.74"	"18.55"	"13.72"	"12.14"	"6.48"	"14.18"	"6.77"	"11.69"	"8.94"	""	"50"	"0"	"0"	"Green"	"268.050024922345"
"False"	"IsMasterProtein"	"LOC107380514"	"XP_015807287.1"	"35.2941176470588"	"58"	"82"	"57"	"1"	"1819"	"207.132"	"6.15"	"0.53"	"0.65"	"0.56"	"2.16"	"1.30"	"1.24"	"1.22"	"1.65"	"1.10"	"16.65"	"8.77"	"6.89"	"10.80"	"0.77"	"6.16"	"18.17"	"13.84"	"9.72"	""	"58"	"0"	"0"	"Green"	"266.403100926005"
"False"	"IsMasterProtein"	"LOC107377205"	"XP_015802160.1"	"48.2893450635386"	"52"	"74"	"50"	"1"	"1023"	"112.42"	"5.53"	"0.59"	"0.65"	"0.47"	"3.32"	"0.90"	"1.28"	"0.98"	"1.02"	"1.18"	"23.13"	"41.81"	"29.97"	"14.14"	"17.09"	"18.94"	"7.16"	"2.91"	"8.92"	""	"52"	"0"	"0"	"Green"	"250.154547891929"
"False"	"IsMasterProtein"	"LOC107391340"	"XP_015824099.1"	"71.1359404096834"	"54"	"114"	"53"	"1"	"537"	"58.813"	"5.26"	"1.08"	"0.88"	"0.64"	"0.62"	"1.38"	"1.08"	"2.20"	"1.73"	"1.70"	"8.72"	"40.78"	"16.17"	"13.26"	"7.46"	"9.39"	"23.13"	"18.41"	"6.73"	""	"54"	"0"	"0"	"Green"	"250.055255527476"
