Gene,XM id,XP id,mean Ka/Ks,mean Ka,mean ks,medaka Ka/Ks,medaka Ka,medaka ks,Stickleback Ka/Ks,Stickleback Ka,Stickleback ks,tetraodon Ka/Ks,tetraodon Ka,tetraodon ks,fugu Ka/Ks,fugu Ka,fugu ks,zebrafish Ka/Ks,zebrafish Ka,zebrafish ks
a1cf,XM_015962526.1,XP_015818012.1,0.05142,0.0635,1.28412,0.0717,0.0574,0.8002,0.0327,0.0476,1.4548,0.0463,0.0618,1.3337,0.0532,0.0627,1.1775,0.0532,0.088,1.6544
aar2,XM_015968075.1,XP_015823561.1,0.05974,0.10388,2.0798,0.0763,0.0743,0.9737,0.0232,0.0933,4.0155,0.0773,0.1016,1.3136,0.0497,0.1005,2.023,0.0722,0.1497,2.0732
aars,XM_015965143.1,XP_015820629.1,0.0328,0.0581,1.85512,0.0288,0.0343,1.1917,0.0225,0.0516,2.2901,0.0258,0.0696,2.6938,0.0405,0.0603,1.4902,0.0464,0.0747,1.6098
aarsd1,XM_015963617.1,XP_015819103.1,0.0878,0.11872,1.35866,0.0963,0.085,0.8825,0.0686,0.0883,1.2877,0.0821,0.1227,1.4945,0.0721,0.1172,1.6245,0.1199,0.1804,1.5041
aasdh,XM_015971709.1,XP_015827195.1,0.1583,0.20432,1.31414,0.1737,0.1703,0.9805,0.1139,0.1898,1.6667,0.1222,0.1655,1.3548,0.1831,0.1662,0.9079,0.1986,0.3298,1.6608
aasdhppt,XM_015951691.1,XP_015807177.1,0.1423,0.15002,1.14514,0.114,0.1208,1.0597,0.1655,0.1075,0.6494,0.1817,0.1337,0.7355,0.1414,0.1338,0.946,0.1089,0.2543,2.3351
aass,XM_015965646.1,XP_015821132.1,0.04968,0.08,1.74062,0.0674,0.0759,1.1252,0.0302,0.062,2.0516,0.0488,0.0865,1.7735,0.0622,0.0731,1.1743,0.0398,0.1025,2.5785
abcc4,XM_015952434.1,XP_015807920.1,0.07338,0.12236,1.65884,0.0824,0.1842,2.2344,0.0589,0.0883,1.4988,0.078,0.1046,1.3416,0.0795,0.1076,1.3529,0.0681,0.1271,1.8665
abcg4,XM_015960871.1,XP_015816357.1,0.02566,0.02636,1.11216,0.0222,0.0201,0.908,0.0361,0.0277,0.7674,0.0207,0.0182,0.8823,0.0301,0.0225,0.7469,0.0192,0.0433,2.2562
abhd14b,XM_015958976.1,XP_015814462.1,0.1355,0.1288,0.93242,0.1391,0.1092,0.7851,0.1257,0.1158,0.9214,0.1074,0.0915,0.8521,0.1428,0.1032,0.7229,0.1625,0.2243,1.3806
abhd18,XM_015958452.1,XP_015813938.1,0.0482,0.04742,0.97818,0.05,0.0353,0.7058,0.0492,0.0356,0.7239,0.0452,0.0432,0.9552,0.0453,0.0414,0.9146,0.0513,0.0816,1.5914
