"Checked"	"Master"	"Accession"	"Description"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Ratios: (126) / (131)"	"Ratios: (127_N) / (131)"	"Ratios: (127_C) / (131)"	"Ratios: (128_N) / (131)"	"Ratios: (128_C) / (131)"	"Ratios: (129_N) / (131)"	"Ratios: (129_C) / (131)"	"Ratios: (130_N) / (131)"	"Ratios: (130_C) / (131)"	"Ratio Standard Errors [%]: (126) / (131)"	"Ratio Standard Errors [%]: (127_N) / (131)"	"Ratio Standard Errors [%]: (127_C) / (131)"	"Ratio Standard Errors [%]: (128_N) / (131)"	"Ratio Standard Errors [%]: (128_C) / (131)"	"Ratio Standard Errors [%]: (129_N) / (131)"	"Ratio Standard Errors [%]: (129_C) / (131)"	"Ratio Standard Errors [%]: (130_N) / (131)"	"Ratio Standard Errors [%]: (130_C) / (131)"	"emPAI"	"# Peptides A2"	"# Cumulative Decoys A2"	"FDR A2"	"Confidence A2"	"|Log Prob| A2"
"False"	"IsMasterProtein"	"sptan1"	"XP_015798825.1"	"61.9201290843082"	"142"	"189"	"141"	"1"	"2479"	"284.895"	"5.29"	"0.59"	"0.73"	"0.80"	"0.78"	"0.68"	"1.10"	"1.12"	"1.35"	"1.02"	"8.98"	"12.52"	"10.52"	"4.88"	"4.39"	"4.76"	"12.05"	"11.62"	"4.85"	""	"142"	"0"	"0"	"Green"	"749.662296728121"
"False"	"IsMasterProtein"	"LOC107394916"	"XP_015829615.1"	"55.0964187327824"	"119"	"154"	"116"	"1"	"2541"	"271.231"	"6.05"	"0.71"	"0.78"	"0.92"	"0.83"	"0.69"	"1.05"	"1.00"	"1.12"	"1.03"	"5.50"	"7.16"	"6.12"	"4.61"	"3.45"	"4.08"	"7.78"	"10.55"	"7.32"	""	"119"	"0"	"0"	"Green"	"669.549883815832"
"False"	"IsMasterProtein"	"LOC107388592"	"XP_015819642.1"	"49.0524781341108"	"108"	"151"	"107"	"1"	"2744"	"293.335"	"6.38"	"0.76"	"0.66"	"0.81"	"1.00"	"0.70"	"1.17"	"1.00"	"0.97"	"1.02"	"8.31"	"2.25"	"6.53"	"8.15"	"4.47"	"2.63"	"1.71"	"6.81"	"5.59"	""	"108"	"0"	"0"	"Green"	"636.399869806084"
"False"	"IsMasterProtein"	"cltc"	"XP_015816180.1"	"65.9321024419297"	"103"	"164"	"103"	"1"	"1679"	"191.619"	"5.66"	"0.49"	"0.76"	"0.79"	"0.89"	"0.87"	"1.32"	"1.00"	"1.10"	"0.89"	"3.99"	"10.08"	"4.98"	"5.42"	"5.75"	"8.54"	"9.81"	"11.17"	"5.97"	""	"103"	"0"	"0"	"Green"	"559.008463579903"
"False"	"IsMasterProtein"	"vwf"	"XP_015820051.1"	"35.7622921825256"	"84"	"108"	"84"	"1"	"2827"	"308.62"	"6.05"	"0.54"	"0.81"	"0.79"	"0.92"	"0.92"	"1.25"	"1.02"	"1.27"	"1.03"	"6.31"	"5.92"	"6.18"	"4.45"	"4.02"	"4.45"	"6.72"	"3.59"	"5.09"	""	"84"	"0"	"0"	"Green"	"485.761422952234"
"False"	"IsMasterProtein"	"c3"	"XP_015824898.1"	"53.4956304619226"	"80"	"117"	"78"	"1"	"1602"	"179.627"	"6.05"	"1.12"	"0.65"	"1.20"	"0.66"	"0.61"	"1.11"	"0.99"	"1.12"	"0.87"	"5.98"	"7.90"	"12.01"	"6.19"	"8.64"	"10.42"	"1.63"	"8.23"	"2.87"	""	"80"	"0"	"0"	"Green"	"467.260737352828"
"False"	"IsMasterProtein"	"LOC107391531"	"XP_015824350.1"	"37.8686590640975"	"73"	"93"	"72"	"1"	"2543"	"270.967"	"5.71"	"0.78"	"0.76"	"0.98"	"0.99"	"0.70"	"1.10"	"0.88"	"1.04"	"1.01"	"14.20"	"14.77"	"8.66"	"17.11"	"7.71"	"3.85"	"9.35"	"8.04"	"6.83"	""	"73"	"0"	"0"	"Green"	"465.978119250513"
"False"	"IsMasterProtein"	"LOC107392087"	"XP_015825146.1"	"41.2462908011869"	"94"	"123"	"92"	"1"	"2359"	"273.576"	"5.53"	"0.59"	"0.69"	"0.76"	"0.76"	"0.66"	"1.13"	"1.19"	"1.39"	"1.04"	"3.01"	"4.17"	"6.01"	"9.31"	"5.84"	"6.53"	"7.86"	"8.83"	"3.69"	""	"94"	"0"	"0"	"Green"	"460.329852634427"
"False"	"IsMasterProtein"	"stab2"	"XP_015818627.1"	"40.7863383637808"	"92"	"149"	"89"	"1"	"2518"	"271.097"	"6.68"	"0.51"	"0.77"	"0.83"	"1.00"	"0.96"	"1.23"	"0.88"	"1.05"	"0.92"	"9.52"	"9.80"	"4.67"	"4.20"	"1.45"	"2.81"	"5.44"	"7.54"	"5.25"	""	"92"	"0"	"0"	"Green"	"447.577661943711"
"False"	"IsMasterProtein"	"atp5b"	"XP_015807912.1"	"79.9614643545279"	"36"	"136"	"35"	"1"	"519"	"55.298"	"5.22"	"0.80"	"0.75"	"0.97"	"0.84"	"0.66"	"0.90"	"0.96"	"1.17"	"1.10"	"5.04"	"1.14"	"2.88"	"6.18"	"6.15"	"5.48"	"6.96"	"7.54"	"4.16"	""	"36"	"0"	"0"	"Green"	"438.290636448146"
"False"	"IsMasterProtein"	"vcl"	"XP_015818068.1"	"68.3864915572233"	"75"	"124"	"73"	"1"	"1066"	"116.481"	"6.18"	"0.76"	"0.88"	"0.94"	"0.92"	"0.69"	"0.99"	"0.83"	"1.15"	"1.05"	"11.58"	"9.29"	"6.00"	"8.58"	"5.47"	"5.17"	"14.36"	"11.04"	"3.84"	""	"75"	"0"	"0"	"Green"	"419.766670870731"
