"Checked"	"Master"	"Accession"	"Description"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Ratios: (126) / (131)"	"Ratios: (127_N) / (131)"	"Ratios: (127_C) / (131)"	"Ratios: (128_N) / (131)"	"Ratios: (128_C) / (131)"	"Ratios: (129_N) / (131)"	"Ratios: (129_C) / (131)"	"Ratios: (130_N) / (131)"	"Ratios: (130_C) / (131)"	"Ratio Standard Errors [%]: (126) / (131)"	"Ratio Standard Errors [%]: (127_N) / (131)"	"Ratio Standard Errors [%]: (127_C) / (131)"	"Ratio Standard Errors [%]: (128_N) / (131)"	"Ratio Standard Errors [%]: (128_C) / (131)"	"Ratio Standard Errors [%]: (129_N) / (131)"	"Ratio Standard Errors [%]: (129_C) / (131)"	"Ratio Standard Errors [%]: (130_N) / (131)"	"Ratio Standard Errors [%]: (130_C) / (131)"	"emPAI"	"# Peptides A2"	"# Cumulative Decoys A2"	"FDR A2"	"Confidence A2"	"|Log Prob| A2"
"False"	"IsMasterProtein"	"myh11"	"XP_015826303.1"	"62.639029322548"	"147"	"237"	"144"	"1"	"1978"	"227.846"	"5.48"	"1.23"	"0.45"	"0.75"	"1.08"	"0.81"	"2.21"	"0.05"	"0.09"	"0.04"	"7.68"	"25.00"	"21.31"	"8.23"	"15.71"	"2.49"	"71.21"	"22.21"	"89.75"	""	"147"	"0"	"0"	"Green"	"733.968324989769"
"False"	"IsMasterProtein"	"LOC107391531"	"XP_015824350.1"	"49.7837200157295"	"110"	"163"	"109"	"1"	"2543"	"270.967"	"5.71"	"1.38"	"0.55"	"1.28"	"1.13"	"0.47"	"1.32"	"0.04"	"0.08"	"0.03"	"5.04"	"5.24"	"7.40"	"4.59"	"7.58"	"5.92"	"19.36"	"16.80"	"27.84"	""	"110"	"0"	"0"	"Green"	"555.622461446945"
"False"	"IsMasterProtein"	"LOC107376217"	"XP_015800690.1"	"49.8470948012232"	"112"	"158"	"112"	"1"	"1962"	"227.063"	"5.49"	"1.35"	"0.47"	"0.83"	"0.90"	"0.79"	"2.00"	"0.04"	"0.08"	"0.02"	"6.52"	"12.66"	"12.74"	"1.19"	"5.22"	"3.58"	"32.44"	"21.33"	"23.13"	""	"112"	"0"	"0"	"Green"	"518.246973482879"
"False"	"IsMasterProtein"	"LOC107380680"	"XP_015807466.1"	"58.4569732937685"	"94"	"151"	"91"	"1"	"1685"	"192.296"	"5.78"	"1.36"	"0.71"	"1.34"	"1.06"	"0.58"	"1.09"	"0.03"	"0.06"	"0.02"	"6.57"	"5.49"	"2.81"	"6.02"	"3.80"	"1.29"	"28.82"	"12.36"	"24.58"	""	"94"	"0"	"0"	"Green"	"446.08333113228"
"False"	"IsMasterProtein"	"prpf8"	"XP_015807109.1"	"43.9014024649384"	"98"	"132"	"96"	"1"	"2353"	"275.278"	"8.85"	"1.61"	"0.65"	"1.10"	"1.16"	"0.71"	"1.02"	"0.04"	"0.07"	"0.04"	"7.05"	"5.28"	"6.39"	"1.97"	"8.48"	"2.86"	"20.91"	"8.69"	"34.05"	""	"98"	"0"	"0"	"Green"	"437.681513806211"
"False"	"IsMasterProtein"	"LOC107393303"	"XP_015827054.1"	"73.0769230769231"	"77"	"185"	"73"	"1"	"858"	"95.59"	"7.05"	"1.66"	"0.73"	"1.33"	"0.96"	"0.56"	"1.15"	"0.02"	"0.06"	"0.01"	"4.07"	"5.13"	"5.23"	"6.05"	"9.63"	"4.57"	"72.99"	"19.89"	"42.38"	""	"77"	"0"	"0"	"Green"	"436.087247595322"
"False"	"IsMasterProtein"	"mvp"	"XP_015831781.1"	"79.8687089715536"	"63"	"146"	"63"	"1"	"914"	"102.013"	"5.47"	"1.77"	"0.81"	"1.47"	"1.17"	"0.38"	"0.74"	"0.03"	"0.05"	"0.03"	"7.96"	"6.60"	"1.45"	"3.20"	"7.31"	"4.16"	"16.68"	"17.40"	"17.76"	""	"63"	"0"	"0"	"Green"	"423.992983619432"
"False"	"IsMasterProtein"	"piwil1"	"XP_015827612.1"	"73.2163742690058"	"63"	"117"	"63"	"1"	"855"	"96.964"	"9.22"	"1.55"	"0.75"	"1.26"	"1.25"	"0.70"	"0.98"	"0.03"	"0.06"	"0.02"	"5.35"	"9.64"	"5.83"	"4.69"	"2.60"	"3.30"	"60.78"	"19.12"	"83.41"	""	"63"	"0"	"0"	"Green"	"417.164273622375"
"False"	"IsMasterProtein"	"LOC107391340"	"XP_015824099.1"	"90.6890130353817"	"61"	"185"	"60"	"1"	"537"	"58.813"	"5.26"	"1.41"	"0.67"	"1.47"	"1.15"	"0.53"	"1.21"	"0.05"	"0.08"	"0.04"	"3.68"	"6.92"	"11.20"	"7.07"	"7.28"	"3.86"	"108.00"	"43.14"	"135.31"	""	"61"	"0"	"0"	"Green"	"416.719737834463"
"False"	"IsMasterProtein"	"esyt1"	"XP_015815114.1"	"47.7491961414791"	"81"	"116"	"80"	"1"	"1866"	"207.259"	"6.42"	"1.33"	"0.70"	"1.25"	"1.27"	"0.61"	"1.07"	"0.03"	"0.07"	"0.03"	"5.88"	"11.11"	"5.78"	"1.63"	"7.25"	"8.52"	"35.56"	"25.48"	"37.39"	""	"81"	"0"	"0"	"Green"	"410.614232348576"
