N. furzeri symbol,N. furzeri Gene Id,N. furzeri Protein Id,Human,Mouse,Chicken,Rat,Spotted Gar,Zebrafish,Medaka,Stickleback,Tetarodon,Fugu,Worm,Fly,N. furzeri Final Symbol
impdh2,XM_015967498.1,XP_015822984.1,IMPDH2,Impdh2,IMPDH2,Impdh2,impdh1b,impdh2,impdh1b,impdh2,Impdh2,impdh2,T22D1.3,ras,impdh2
fkbp3,XM_015948104.1,XP_015803590.1,FKBP3,Fkbp3,FKBP25,Fkbp3,fkbp3,fkbp3,fkbp3,fkbp3,Fkbp3,fkbp3,fkb-2,FK506-bp2,fkbp3
chst2,XM_015955096.1,XP_015810582.1,CHST2,Chst2,CHST2,Chst2,chst2b,chst2b,chst2b,chst2b,Chst2,chst2b,,CG31637,chst2
LOC107392235,XM_015969913.1,XP_015825399.1,HTR1D,Htr1d,HTR1D,Htr1d,htr1d,htr1d,htr1d,htr1d,Htr1d,htr1d,octr-1,5-HT7,htr1d
zfyve9,XM_015956200.1,XP_015811686.1,ZFYVE9,Zfyve9,ZFYVE9,Zfyve9,zfyve9a,zfyve9a,zfyve9a,zfyve9a,Zfyve9,zfyve9a,aka-1,Sara,zfyve9 (1 of 2)
LOC107393238,XM_015971466.1,XP_015826952.1,ZFYVE9,Zfyve9,ZFYVE9,Zfyve9,zfyve9a,zfyve9b,,zfyve9a,Zfyve9,zfyve9a,aka-1,Sara,zfyve9 (2 of 2)
mybpc2,XM_015948722.1,XP_015804208.1,MYBPC2,Mybpc2,MYBPC1,Mybpc2,mybpc3,mybpc2a,mybpc2a,mybpc2a,Mybpc2,mybpc2a,unc-22,sls,mybpc2 (1 of 2)
LOC107388012,XM_015963342.1,XP_015818828.1,MYBPC2,Mybpc2,MYBPC1,Mybpc2,mybpc3,mybpc2b,,mybpc2b,Mybpc2,mybpc2b,unc-22,bt,mybpc2 (2 of 2)
LOC107390444,XM_015967151.1,XP_015822637.1,TNFSF14,Tnfsf14,TNFSF10,Tnfsf14,TNFSF14_1_many,tnfsf14,,tnfsf14,Tnfsf14,tnfsf10l,,,tnfsf14
pgpep1,XM_015970860.1,XP_015826346.1,PGPEP1,Pgpep1,PGPEP1,Pgpep1,PGPEP1,pgpep1,PGPEP1,PGPEP1,Pgpep1,PGPEP1,M04C9.3,CG32147,pgpep1
cep162,XM_015949513.1,XP_015804999.1,CEP162,Cep162,CEP162,Cep162,cep162,cep162,cep162_1_many,cep162,Cep162,cep162,,CG42699,cep162
LOC107392212,XM_015969875.1,XP_015825361.1,ASAP3,Asap3,ASAP1,Asap2,asap3,asap3,asap3,asap2a,Asap2,asap3,cnt-2,Asap,asap3
creb5,XM_015974973.1,XP_015830459.1,CREB5,Creb5,CREB5,Creb5,creb5b,creb5b,creb5b,creb5b,Creb5,creb5b,fos-1,Atf-2,creb5 (1 of 2)
LOC107383381,XM_015955945.1,XP_015811431.1,CREB5,Atf7,CREB5,Atf7,atf2,creb5b,,creb5a,Atf7,creb5a,fos-1,Jra,creb5 (2 of 2)
cmtr1,XM_015947337.1,XP_015802823.1,CMTR1,Cmtr1,CMTR1,Cmtr1,cmtr1,cmtr1,cmtr1,cmtr1,Cmtr1,cmtr1,Y53F4B.13,CG6379,cmtr1
crcp,XM_015961374.1,XP_015816860.1,CRCP,Crcp,CRCP,Crcp,crcp,crcp,crcp,crcp,Crcp,crcp,M106.7,Rcp,crcp
