"Checked"	"Master"	"Accession"	"Description"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Ratios: (126) / (131)"	"Ratios: (127_N) / (131)"	"Ratios: (127_C) / (131)"	"Ratios: (128_N) / (131)"	"Ratios: (128_C) / (131)"	"Ratios: (129_N) / (131)"	"Ratios: (129_C) / (131)"	"Ratios: (130_N) / (131)"	"Ratios: (130_C) / (131)"	"Ratio Standard Errors [%]: (126) / (131)"	"Ratio Standard Errors [%]: (127_N) / (131)"	"Ratio Standard Errors [%]: (127_C) / (131)"	"Ratio Standard Errors [%]: (128_N) / (131)"	"Ratio Standard Errors [%]: (128_C) / (131)"	"Ratio Standard Errors [%]: (129_N) / (131)"	"Ratio Standard Errors [%]: (129_C) / (131)"	"Ratio Standard Errors [%]: (130_N) / (131)"	"Ratio Standard Errors [%]: (130_C) / (131)"	"emPAI"	"# Peptides A2"	"# Cumulative Decoys A2"	"FDR A2"	"Confidence A2"	"|Log Prob| A2"
"False"	"IsMasterProtein"	"sptan1"	"XP_015798825.1"	"52.3194836627672"	"116"	"138"	"116"	"1"	"2479"	"284.895"	"5.29"	"0.37"	"1.00"	"1.12"	"0.81"	"0.92"	"0.83"	"1.14"	"0.98"	"1.13"	"31.07"	"5.07"	"9.55"	"8.98"	"6.52"	"2.61"	"6.79"	"6.05"	"3.70"	""	"116"	"0"	"0"	"Green"	"605.995606106992"
"False"	"IsMasterProtein"	"c3"	"XP_015824898.1"	"62.2347066167291"	"91"	"143"	"90"	"1"	"1602"	"179.627"	"6.05"	"0.36"	"0.73"	"1.02"	"1.12"	"0.61"	"1.80"	"1.30"	"0.93"	"0.68"	"46.98"	"15.35"	"16.44"	"6.50"	"16.75"	"33.34"	"10.88"	"10.86"	"17.01"	""	"91"	"0"	"0"	"Green"	"546.718672431165"
"False"	"IsMasterProtein"	"iqgap2"	"XP_015827985.1"	"53.1287605294826"	"82"	"121"	"81"	"1"	"1662"	"189.703"	"6.42"	"0.54"	"0.88"	"1.05"	"0.92"	"1.07"	"1.06"	"1.03"	"0.92"	"1.02"	"19.77"	"6.37"	"7.49"	"6.79"	"5.72"	"6.20"	"6.17"	"8.41"	"6.89"	""	"82"	"0"	"0"	"Green"	"478.50535044804"
"False"	"IsMasterProtein"	"agl"	"XP_015813078.1"	"64.8015614834092"	"87"	"135"	"86"	"1"	"1537"	"174.367"	"6.44"	"0.37"	"1.02"	"1.08"	"0.92"	"1.02"	"1.15"	"0.97"	"0.99"	"0.91"	"7.83"	"3.58"	"6.71"	"5.39"	"6.05"	"7.30"	"3.05"	"4.48"	"10.21"	""	"87"	"0"	"0"	"Green"	"461.52629051854"
"False"	"IsMasterProtein"	"fasn"	"XP_015831999.1"	"40.3341288782816"	"84"	"112"	"84"	"1"	"2514"	"273.181"	"6.52"	"0.74"	"0.80"	"0.96"	"1.59"	"1.28"	"1.33"	"0.56"	"0.75"	"0.57"	"41.42"	"5.07"	"4.44"	"3.61"	"5.81"	"5.69"	"6.61"	"6.88"	"10.53"	""	"84"	"0"	"0"	"Green"	"454.772261682291"
"False"	"IsMasterProtein"	"pc"	"XP_015807859.1"	"70.0847457627119"	"84"	"181"	"83"	"1"	"1180"	"129.351"	"6.79"	"0.44"	"0.93"	"1.05"	"0.94"	"1.10"	"1.16"	"1.05"	"0.94"	"0.86"	"22.32"	"6.86"	"4.84"	"4.24"	"3.81"	"4.72"	"4.26"	"0.91"	"7.98"	""	"84"	"0"	"0"	"Green"	"420.825139187139"
"False"	"IsMasterProtein"	"pygl"	"XP_015824947.1"	"73.0363423212192"	"71"	"161"	"69"	"1"	"853"	"97.839"	"7.17"	"0.39"	"1.06"	"1.25"	"0.92"	"0.84"	"1.10"	"1.00"	"1.09"	"1.00"	"65.28"	"2.58"	"0.66"	"4.89"	"11.05"	"3.01"	"2.28"	"2.48"	"6.61"	""	"71"	"0"	"0"	"Green"	"417.669277077326"
"False"	"IsMasterProtein"	"actn4"	"XP_015806728.1"	"67.4267100977199"	"55"	"101"	"55"	"1"	"921"	"105.156"	"5.12"	"0.33"	"0.98"	"1.07"	"0.78"	"0.96"	"1.05"	"1.10"	"1.02"	"0.95"	"9.96"	"2.09"	"13.04"	"7.37"	"7.43"	"6.74"	"11.90"	"10.72"	"3.46"	""	"55"	"0"	"0"	"Green"	"409.382992579434"
"False"	"IsMasterProtein"	"cltc"	"XP_015816180.1"	"51.8761167361525"	"81"	"126"	"81"	"1"	"1679"	"191.619"	"5.66"	"0.28"	"0.89"	"1.12"	"0.82"	"1.07"	"1.00"	"1.14"	"1.02"	"0.98"	"39.98"	"6.38"	"8.33"	"4.43"	"4.07"	"7.00"	"11.54"	"3.66"	"4.57"	""	"81"	"0"	"0"	"Green"	"403.458559042845"
"False"	"IsMasterProtein"	"rrbp1"	"XP_015799639.1"	"71.4031971580817"	"73"	"103"	"72"	"1"	"1126"	"123.215"	"5.59"	"0.41"	"0.92"	"1.06"	"1.16"	"1.07"	"1.18"	"1.00"	"0.85"	"0.77"	"41.70"	"4.79"	"2.79"	"20.53"	"9.14"	"3.57"	"1.05"	"15.21"	"2.65"	""	"73"	"0"	"0"	"Green"	"402.857270400716"
"False"	"IsMasterProtein"	"flnb"	"XP_015814162.1"	"41.2394797245601"	"84"	"105"	"83"	"1"	"2614"	"277.686"	"5.6"	"0.54"	"1.00"	"1.17"	"0.77"	"0.87"	"0.97"	"1.07"	"0.98"	"0.95"	"17.00"	"2.59"	"0.20"	"6.32"	"7.36"	"6.35"	"9.58"	"9.37"	"6.96"	""	"84"	"0"	"0"	"Green"	"387.55642322761"
"False"	"IsMasterProtein"	"LOC107387043"	"XP_015817282.1"	"90.379746835443"	"48"	"163"	"47"	"1"	"395"	"45.011"	"7.03"	"0.29"	"0.96"	"1.02"	"0.97"	"0.94"	"1.20"	"1.08"	"1.06"	"1.28"	"24.97"	"3.59"	"2.64"	"6.02"	"8.09"	"5.26"	"6.25"	"4.39"	"4.55"	""	"48"	"0"	"0"	"Green"	"361.576919078813"
"False"	"IsMasterProtein"	"LOC107377458"	"XP_015802560.1"	"42.7937020589423"	"62"	"116"	"62"	"1"	"2477"	"269.426"	"5.9"	"0.31"	"0.96"	"0.98"	"1.05"	"1.20"	"1.21"	"0.86"	"0.86"	"0.87"	"42.66"	"4.82"	"1.85"	"7.47"	"4.77"	"11.43"	"2.80"	"6.51"	"1.51"	""	"62"	"0"	"0"	"Green"	"357.78685839919"
"False"	"IsMasterProtein"	"LOC107393303"	"XP_015827054.1"	"69.8135198135198"	"64"	"132"	"60"	"1"	"858"	"95.59"	"7.05"	"0.47"	"0.90"	"1.14"	"1.00"	"1.01"	"1.12"	"1.14"	"0.94"	"0.89"	"53.78"	"4.09"	"0.50"	"4.03"	"5.97"	"4.43"	"9.05"	"6.83"	"5.08"	""	"64"	"0"	"0"	"Green"	"357.675886456063"
"False"	"IsMasterProtein"	"hsp90b1"	"XP_015819645.1"	"70.440251572327"	"64"	"135"	"63"	"1"	"795"	"91.482"	"4.87"	"0.61"	"1.00"	"1.19"	"1.01"	"0.95"	"1.17"	"1.38"	"0.85"	"0.81"	"16.87"	"7.64"	"10.02"	"2.69"	"4.15"	"4.70"	"3.39"	"9.54"	"4.22"	""	"64"	"0"	"0"	"Green"	"351.135026577629"
"False"	"IsMasterProtein"	"pck2"	"XP_015810440.1"	"82.0472440944882"	"43"	"103"	"43"	"1"	"635"	"69.398"	"8.48"	"0.38"	"1.00"	"1.14"	"1.00"	"1.14"	"1.23"	"1.01"	"0.94"	"0.96"	"34.94"	"1.86"	"2.40"	"0.66"	"5.15"	"5.38"	"2.77"	"5.04"	"0.93"	""	"43"	"0"	"0"	"Green"	"332.0176224036"
"False"	"IsMasterProtein"	"mthfd1"	"XP_015825808.1"	"66.0599571734475"	"53"	"83"	"51"	"1"	"934"	"100.627"	"7.68"	"0.40"	"0.85"	"1.03"	"1.19"	"1.19"	"1.34"	"0.79"	"0.82"	"0.89"	"43.59"	"1.92"	"2.21"	"3.13"	"9.75"	"5.55"	"10.09"	"5.86"	"1.34"	""	"53"	"0"	"0"	"Green"	"312.740679142246"
"False"	"IsMasterProtein"	"LOC107391340"	"XP_015824099.1"	"80.633147113594"	"54"	"140"	"53"	"1"	"537"	"58.813"	"5.26"	"0.48"	"1.07"	"1.16"	"0.67"	"0.62"	"0.53"	"1.71"	"1.29"	"1.05"	"9.90"	"9.50"	"3.44"	"12.88"	"10.09"	"12.06"	"11.24"	"6.30"	"8.88"	""	"54"	"0"	"0"	"Green"	"311.919933850638"
"False"	"IsMasterProtein"	"LOC107393925"	"XP_015828041.1"	"70.3473945409429"	"56"	"83"	"54"	"1"	"806"	"89.284"	"5.3"	"0.32"	"0.88"	"1.10"	"0.93"	"1.02"	"1.10"	"1.15"	"1.01"	"0.88"	"22.71"	"5.29"	"11.56"	"5.60"	"5.22"	"2.36"	"5.93"	"8.64"	"5.64"	""	"56"	"0"	"0"	"Green"	"307.930947033761"
"False"	"IsMasterProtein"	"hspd1"	"XP_015821248.1"	"84.3478260869565"	"49"	"100"	"48"	"1"	"575"	"60.946"	"5.72"	"0.48"	"0.99"	"1.04"	"1.09"	"1.17"	"1.25"	"1.09"	"0.83"	"0.91"	"18.35"	"3.09"	"4.15"	"8.18"	"4.00"	"5.83"	"5.53"	"0.70"	"1.35"	""	"49"	"0"	"0"	"Green"	"305.413903602538"
"False"	"IsMasterProtein"	"hdlbp"	"XP_015817830.1"	"57.2327044025157"	"74"	"118"	"73"	"1"	"1272"	"141.191"	"6.81"	"0.44"	"0.88"	"1.09"	"1.02"	"1.08"	"1.10"	"1.10"	"0.82"	"0.82"	"18.76"	"4.72"	"2.77"	"4.49"	"5.89"	"1.37"	"1.97"	"3.98"	"4.14"	""	"74"	"0"	"0"	"Green"	"297.813803852311"
"False"	"IsMasterProtein"	"LOC107386347"	"XP_015816161.1"	"69.969040247678"	"51"	"133"	"50"	"1"	"646"	"70.778"	"5.36"	"0.54"	"0.96"	"1.10"	"1.09"	"1.02"	"1.04"	"1.13"	"0.96"	"0.95"	"35.84"	"5.99"	"6.47"	"8.44"	"3.02"	"3.28"	"5.12"	"2.22"	"3.42"	""	"51"	"0"	"0"	"Green"	"294.512379762648"
"False"	"IsMasterProtein"	"LOC107388968"	"XP_015820281.1"	"59.705611775529"	"51"	"77"	"50"	"1"	"1087"	"120.684"	"6.14"	"0.50"	"0.83"	"1.29"	"1.00"	"1.04"	"1.38"	"1.07"	"0.82"	"0.76"	"59.85"	"1.26"	"2.90"	"7.52"	"14.95"	"8.04"	"6.04"	"11.40"	"8.65"	""	"51"	"0"	"0"	"Green"	"286.457615538242"
"False"	"IsMasterProtein"	"LOC107386458"	"XP_015816343.1"	"33.1089608750526"	"68"	"84"	"67"	"1"	"2377"	"272.981"	"5.48"	"0.34"	"0.98"	"1.04"	"0.80"	"0.93"	"0.91"	"1.10"	"0.92"	"1.02"	"17.38"	"13.74"	"14.73"	"5.92"	"3.32"	"12.58"	"5.20"	"6.46"	"5.51"	""	"68"	"0"	"0"	"Green"	"283.956527956347"
"False"	"IsMasterProtein"	"pgm1"	"XP_015826479.1"	"76.4705882352941"	"38"	"71"	"37"	"1"	"561"	"61.06"	"6.55"	"0.37"	"0.84"	"0.95"	"1.21"	"1.17"	"1.15"	"0.90"	"0.82"	"0.94"	"14.96"	"6.34"	"8.53"	"3.35"	"3.68"	"3.76"	"8.50"	"9.22"	"5.08"	""	"38"	"0"	"0"	"Green"	"278.581393766653"
"False"	"IsMasterProtein"	"LOC107383970"	"XP_015812417.1"	"65.1403249630724"	"37"	"67"	"37"	"1"	"677"	"73.007"	"6.7"	"0.39"	"0.90"	"1.26"	"1.19"	"0.98"	"1.05"	"1.03"	"1.04"	"0.98"	"59.61"	"4.28"	"3.03"	"8.92"	"6.22"	"3.06"	"2.84"	"3.38"	"5.52"	""	"37"	"0"	"0"	"Green"	"278.47582584743"
