"Checked"	"Master"	"Accession"	"Description"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Ratios: (126) / (131)"	"Ratios: (127_N) / (131)"	"Ratios: (127_C) / (131)"	"Ratios: (128_N) / (131)"	"Ratios: (128_C) / (131)"	"Ratios: (129_N) / (131)"	"Ratios: (129_C) / (131)"	"Ratios: (130_N) / (131)"	"Ratios: (130_C) / (131)"	"Ratio Standard Errors [%]: (126) / (131)"	"Ratio Standard Errors [%]: (127_N) / (131)"	"Ratio Standard Errors [%]: (127_C) / (131)"	"Ratio Standard Errors [%]: (128_N) / (131)"	"Ratio Standard Errors [%]: (128_C) / (131)"	"Ratio Standard Errors [%]: (129_N) / (131)"	"Ratio Standard Errors [%]: (129_C) / (131)"	"Ratio Standard Errors [%]: (130_N) / (131)"	"Ratio Standard Errors [%]: (130_C) / (131)"	"emPAI"	"# Peptides A2"	"# Cumulative Decoys A2"	"FDR A2"	"Confidence A2"	"|Log Prob| A2"
"False"	"IsMasterProtein"	"plec"	"XP_015829674.1"	"55.5478980013784"	"261"	"311"	"258"	"1"	"4353"	"494.594"	"6.37"	"0.92"	"0.99"	"1.75"	"0.81"	"0.90"	"0.96"	"1.55"	"1.13"	"0.97"	"3.20"	"2.04"	"4.54"	"3.66"	"8.44"	"3.24"	"7.92"	"3.71"	"2.40"	""	"261"	"0"	"0"	"Green"	"884.433351493305"
"False"	"IsMasterProtein"	"sptan1"	"XP_015798825.1"	"66.9221460266236"	"172"	"232"	"172"	"1"	"2479"	"284.895"	"5.29"	"0.81"	"0.98"	"1.85"	"0.94"	"0.96"	"1.07"	"1.42"	"1.10"	"1.08"	"1.35"	"1.81"	"2.16"	"7.65"	"17.88"	"3.42"	"7.26"	"10.66"	"3.20"	""	"172"	"0"	"0"	"Green"	"813.477050314838"
"False"	"IsMasterProtein"	"LOC107396444"	"XP_015831669.1"	"54.0794532251175"	"124"	"165"	"119"	"1"	"2341"	"270.38"	"5.67"	"0.79"	"0.97"	"1.93"	"0.93"	"0.93"	"1.01"	"1.39"	"1.06"	"1.03"	"5.13"	"3.49"	"7.95"	"4.94"	"4.13"	"1.41"	"10.16"	"4.46"	"4.47"	""	"124"	"0"	"0"	"Green"	"482.81261860064"
"False"	"IsMasterProtein"	"map1a"	"XP_015809472.1"	"43.7068303914045"	"88"	"123"	"87"	"1"	"2606"	"285.266"	"4.83"	"1.00"	"0.97"	"1.56"	"1.01"	"1.07"	"1.00"	"1.34"	"1.06"	"1.00"	"0.00"	"3.02"	"7.86"	"8.56"	"10.81"	"0.52"	"13.94"	"9.48"	"0.00"	""	"88"	"0"	"0"	"Green"	"409.881140477789"
"False"	"IsMasterProtein"	"LOC107380823"	"XP_015807669.1"	"35.9763313609467"	"94"	"120"	"92"	"1"	"3380"	"368.152"	"4.67"	"0.96"	"0.90"	"1.73"	"0.96"	"0.99"	"1.04"	"1.33"	"1.04"	"0.99"	"5.96"	"10.68"	"10.42"	"5.47"	"5.42"	"7.07"	"19.96"	"4.52"	"5.63"	""	"94"	"0"	"0"	"Green"	"348.704632896413"
"False"	"IsMasterProtein"	"dync1h1"	"XP_015825333.1"	"24.5636716224952"	"111"	"132"	"107"	"1"	"4641"	"532.266"	"6.39"	"0.77"	"0.89"	"1.56"	"0.85"	"1.00"	"1.01"	"1.18"	"1.03"	"1.30"	"7.71"	"9.81"	"9.23"	"14.81"	"3.48"	"1.98"	"11.68"	"4.83"	"7.82"	""	"111"	"0"	"0"	"Green"	"324.528723948465"
"False"	"IsMasterProtein"	"LOC107397073"	"XP_015832458.1"	"76.5765765765766"	"32"	"143"	"30"	"1"	"444"	"49.64"	"4.92"	"0.73"	"0.79"	"1.68"	"0.86"	"0.97"	"1.06"	"1.73"	"1.08"	"1.42"	"8.33"	"8.36"	"11.40"	"18.14"	"14.24"	"5.02"	"5.04"	"10.60"	"1.18"	""	"32"	"0"	"0"	"Green"	"311.674855142797"
"False"	"IsMasterProtein"	"LOC107377204"	"XP_015802159.1"	"54.775828460039"	"59"	"104"	"59"	"1"	"1026"	"112.431"	"5.35"	"0.91"	"0.84"	"1.92"	"1.10"	"1.37"	"1.29"	"1.50"	"1.01"	"1.01"	"5.39"	"6.15"	"3.54"	"8.42"	"8.73"	"6.41"	"12.15"	"2.36"	"4.10"	""	"59"	"0"	"0"	"Green"	"306.118844168457"
"False"	"IsMasterProtein"	"nefm"	"XP_015832313.1"	"62.5"	"79"	"162"	"78"	"1"	"1016"	"112.431"	"4.69"	"0.99"	"0.85"	"1.47"	"1.04"	"1.16"	"1.19"	"1.63"	"1.04"	"1.02"	"10.87"	"10.17"	"13.14"	"6.14"	"3.15"	"7.35"	"27.02"	"7.12"	"2.66"	""	"79"	"0"	"0"	"Green"	"303.822885201779"
"False"	"IsMasterProtein"	"sptbn1"	"XP_015828094.1"	"30.9462915601023"	"66"	"85"	"64"	"1"	"2346"	"271.378"	"5.69"	"0.73"	"0.90"	"1.87"	"0.93"	"0.96"	"1.01"	"1.63"	"1.03"	"1.00"	"10.36"	"2.40"	"4.12"	"3.48"	"4.16"	"4.48"	"3.93"	"13.07"	"1.42"	""	"66"	"0"	"0"	"Green"	"298.8443631064"
"False"	"IsMasterProtein"	"cltc"	"XP_015816180.1"	"41.512805241215"	"68"	"96"	"66"	"1"	"1679"	"191.619"	"5.66"	"0.70"	"0.73"	"1.47"	"1.36"	"1.28"	"1.34"	"1.12"	"0.98"	"0.98"	"14.59"	"11.22"	"7.55"	"6.39"	"10.02"	"6.34"	"10.23"	"3.12"	"3.18"	""	"68"	"0"	"0"	"Green"	"291.2060080878"
"False"	"IsMasterProtein"	"mvp"	"XP_015831781.1"	"63.3479212253829"	"51"	"76"	"51"	"1"	"914"	"102.013"	"5.47"	"0.72"	"0.71"	"1.73"	"0.72"	"0.80"	"0.84"	"3.10"	"1.00"	"1.23"	"5.40"	"3.18"	"10.39"	"8.10"	"11.29"	"14.12"	"20.78"	"9.19"	"1.04"	""	"51"	"0"	"0"	"Green"	"249.523173625853"
"False"	"IsMasterProtein"	"LOC107397175"	"XP_015832580.1"	"34.1991341991342"	"69"	"84"	"66"	"1"	"1848"	"213.243"	"8.27"	"0.92"	"0.95"	"1.92"	"0.91"	"0.83"	"0.94"	"1.65"	"1.05"	"1.25"	"12.33"	"9.33"	"5.89"	"9.75"	"18.60"	"11.49"	"10.91"	"7.03"	"3.15"	""	"69"	"0"	"0"	"Green"	"242.371920599799"
"False"	"IsMasterProtein"	"eprs"	"XP_015809400.1"	"44.0668202764977"	"66"	"80"	"65"	"1"	"1736"	"191.927"	"8.37"	"0.82"	"0.98"	"1.49"	"1.20"	"1.26"	"1.43"	"1.27"	"0.88"	"0.70"	"10.43"	"1.19"	"0.52"	"18.05"	"7.20"	"5.55"	"14.60"	"5.84"	"5.24"	""	"66"	"0"	"0"	"Green"	"240.012161102268"
"False"	"IsMasterProtein"	"LOC107382412"	"XP_015810027.1"	"48.6457204767064"	"51"	"80"	"49"	"1"	"923"	"103.048"	"6.18"	"1.03"	"1.04"	"1.63"	"0.87"	"1.47"	"1.00"	"1.41"	"0.84"	"0.87"	"10.15"	"5.33"	"9.90"	"0.39"	"9.51"	"2.89"	"9.47"	"2.72"	"5.76"	""	"51"	"0"	"0"	"Green"	"222.188158762721"
"False"	"IsMasterProtein"	"LOC107378535"	"XP_015804279.1"	"75.8099352051836"	"47"	"91"	"45"	"1"	"463"	"53.217"	"5.59"	"1.19"	"1.06"	"1.50"	"0.79"	"0.72"	"0.86"	"1.94"	"1.10"	"1.04"	"13.40"	"6.80"	"6.35"	"23.47"	"4.13"	"9.60"	"13.62"	"5.03"	"14.54"	""	"47"	"0"	"0"	"Green"	"216.416431788032"
"False"	"IsMasterProtein"	"aldoc"	"XP_015817220.1"	"76.0330578512397"	"32"	"78"	"32"	"1"	"363"	"39.33"	"7.11"	"0.79"	"0.83"	"1.77"	"0.97"	"1.30"	"1.26"	"1.55"	"1.11"	"0.96"	"5.84"	"9.26"	"15.26"	"4.67"	"9.45"	"6.60"	"11.48"	"8.00"	"6.14"	""	"32"	"0"	"0"	"Green"	"214.599699740128"
"False"	"IsMasterProtein"	"LOC107386347"	"XP_015816161.1"	"66.71826625387"	"49"	"104"	"47"	"1"	"646"	"70.778"	"5.36"	"0.81"	"0.82"	"1.77"	"1.08"	"1.13"	"1.26"	"1.44"	"0.93"	"1.01"	"7.14"	"7.39"	"2.57"	"4.19"	"14.79"	"3.69"	"14.55"	"16.09"	"3.52"	""	"49"	"0"	"0"	"Green"	"212.131790870447"
"False"	"IsMasterProtein"	"LOC107376256"	"XP_015800753.1"	"30.7462686567164"	"65"	"70"	"63"	"1"	"2010"	"233.107"	"5.58"	"0.76"	"1.00"	"2.23"	"0.89"	"0.90"	"0.93"	"1.51"	"1.03"	"1.10"	"11.25"	"0.00"	"9.56"	"12.99"	"9.94"	"13.24"	"8.27"	"6.26"	"2.22"	""	"65"	"0"	"0"	"Green"	"211.779671074921"
"False"	"IsMasterProtein"	"LOC107393303"	"XP_015827054.1"	"53.962703962704"	"57"	"99"	"53"	"1"	"858"	"95.59"	"7.05"	"0.66"	"0.75"	"2.08"	"1.14"	"1.00"	"1.21"	"1.35"	"1.06"	"1.02"	"6.69"	"2.84"	"5.62"	"6.14"	"12.19"	"2.98"	"10.14"	"4.03"	"2.57"	""	"57"	"0"	"0"	"Green"	"211.245872245807"
"False"	"IsMasterProtein"	"LOC107393518"	"XP_015827406.1"	"60.9708737864078"	"42"	"136"	"42"	"1"	"515"	"59.108"	"4.75"	"0.99"	"0.94"	"1.33"	"0.89"	"1.00"	"1.10"	"1.85"	"1.10"	"1.02"	"2.41"	"5.32"	"10.69"	"11.20"	"3.23"	"14.56"	"10.50"	"8.70"	"1.98"	""	"42"	"0"	"0"	"Green"	"208.600034792961"
"False"	"IsMasterProtein"	"ktn1"	"XP_015825600.1"	"45.7898957497995"	"51"	"69"	"50"	"1"	"1247"	"139.035"	"5.36"	"0.89"	"0.73"	"1.80"	"1.20"	"1.02"	"1.10"	"1.48"	"1.00"	"0.98"	"4.63"	"7.52"	"10.96"	"15.70"	"11.78"	"4.74"	"13.76"	"0.23"	"10.28"	""	"51"	"0"	"0"	"Green"	"202.981684319193"
"False"	"IsMasterProtein"	"ina"	"XP_015826002.1"	"64.9159663865546"	"47"	"111"	"47"	"1"	"476"	"54.889"	"5.27"	"1.00"	"1.01"	"1.63"	"0.88"	"0.96"	"1.04"	"2.03"	"1.15"	"1.16"	"0.52"	"16.40"	"17.27"	"12.30"	"8.53"	"7.63"	"9.83"	"7.11"	"5.45"	""	"47"	"0"	"0"	"Green"	"202.87849686817"
"False"	"IsMasterProtein"	"LOC107384765"	"XP_015813695.1"	"55.8194774346793"	"52"	"74"	"52"	"1"	"842"	"96.794"	"7.06"	"0.83"	"0.80"	"1.83"	"1.00"	"1.28"	"1.22"	"1.42"	"1.04"	"1.00"	"10.84"	"6.94"	"9.32"	"4.10"	"11.01"	"5.65"	"9.46"	"5.63"	"4.50"	""	"52"	"0"	"0"	"Green"	"201.675590702681"
"False"	"IsMasterProtein"	"K2C1_HUMAN"	"(Common contaminant protein)"	"55.2099533437014"	"37"	"51"	"36"	"1"	"643"	"65.847"	"8.12"	"2.50"	"1.27"	"3.01"	"1.07"	"1.67"	"0.90"	"0.91"	"0.36"	"0.62"	"27.29"	"5.64"	"26.17"	"6.69"	"21.44"	"7.21"	"13.38"	"43.95"	"35.12"	""	"37"	"0"	"0"	"Green"	"196.346770559849"
"False"	"IsMasterProtein"	"LOC107386458"	"XP_015816343.1"	"28.6074884307951"	"56"	"60"	"56"	"1"	"2377"	"272.981"	"5.48"	"0.71"	"0.90"	"1.63"	"0.80"	"0.91"	"0.97"	"1.30"	"1.04"	"1.01"	"21.35"	"13.17"	"6.59"	"12.90"	"11.57"	"5.18"	"20.96"	"8.20"	"2.11"	""	"56"	"0"	"0"	"Green"	"196.233635890227"
"False"	"IsMasterProtein"	"LOC107390417"	"XP_015822589.1"	"62.3059866962306"	"25"	"82"	"25"	"1"	"451"	"50.044"	"5.06"	"0.70"	"0.73"	"1.74"	"0.94"	"1.06"	"1.05"	"1.59"	"1.04"	"1.33"	"2.03"	"8.25"	"6.77"	"3.77"	"5.54"	"3.97"	"15.39"	"6.28"	"11.40"	""	"25"	"0"	"0"	"Green"	"189.37075523319"
"False"	"IsMasterProtein"	"nefh"	"XP_015828042.1"	"68.9280868385346"	"73"	"175"	"73"	"1"	"737"	"84.222"	"4.89"	"1.06"	"0.93"	"1.46"	"0.97"	"1.01"	"1.11"	"1.69"	"1.23"	"1.12"	"6.07"	"0.86"	"4.71"	"3.99"	"5.41"	"8.82"	"9.12"	"3.99"	"7.57"	""	"73"	"0"	"0"	"Green"	"187.366396159094"
